M.D_b.Hplus Time [a],M.D_b.Hplus Hplus [mol/kg]
0.0,1.2211382037741348e-08
10000.0,1.2211382037741712e-08
20000.0,1.2211382037741436e-08
30000.0,1.2211382037741342e-08
40000.0,1.2211382037741345e-08
50000.0,1.2211382037741345e-08
60000.0,1.2211382037741343e-08
70000.0,1.2211382037741345e-08
80000.0,1.2211382037741343e-08
90000.0,1.2211382037741347e-08
100000.0,1.2211382037741345e-08
110000.0,1.2211382037741345e-08
120000.0,1.2211382037741345e-08
130000.0,1.2211382037741345e-08
140000.0,1.2211382037741345e-08
150000.0,1.2211382037741347e-08
160000.0,1.2211382037741347e-08
170000.0,1.2211382037741345e-08
180000.0,1.2211382037741347e-08
190000.0,1.2211382037741347e-08
200000.0,1.2211382037741345e-08
210000.0,1.2211382037741345e-08
220000.0,1.2211382037741345e-08
230000.0,1.2211382037741345e-08
240000.0,1.2211382037741343e-08
250000.0,1.2211382037741345e-08
260000.0,1.2211382037741347e-08
270000.0,1.2211382037741345e-08
280000.0,1.2211382037741343e-08
290000.0,1.2211382037741345e-08
300000.0,1.2211382037741345e-08
310000.0,1.2211382037741345e-08
320000.0,1.2211382037741343e-08
330000.0,1.2211382037741345e-08
340000.0,1.2211382037741345e-08
350000.0,1.2211382037741345e-08
360000.0,1.2211382037741343e-08
370000.0,1.2211382037741345e-08
380000.0,1.2211382037741345e-08
390000.0,1.2211382037741343e-08
400000.0,1.2211382037741345e-08
410000.0,1.2211382037741343e-08
420000.0,1.2211382037741345e-08
430000.0,1.2211382037741345e-08
440000.0,1.2211382037741345e-08
450000.0,1.2211382037741343e-08
460000.0,1.2211382037741345e-08
470000.0,1.2211382037741343e-08
480000.0,1.2211382037741347e-08
490000.0,1.2211382037741343e-08
500000.0,1.2211382037741347e-08
510000.0,1.2211382037741347e-08
520000.0,1.2211382037741343e-08
530000.0,1.2211382037741345e-08
540000.0,1.2211382037741343e-08
550000.0,1.2211382037741345e-08
560000.0,1.2211382037741347e-08
570000.0,1.2211382037741345e-08
580000.0,1.2211382037741345e-08
590000.0,1.2211382037741343e-08
600000.0,1.2211382037741343e-08
610000.0,1.2211382037741345e-08
620000.0,1.2211382037741343e-08
630000.0,1.2211382037741347e-08
640000.0,1.2211382037741345e-08
650000.0,1.2211382037741345e-08
660000.0,1.2211382037741345e-08
670000.0,1.2211382037741345e-08
680000.0,1.2211382037741343e-08
690000.0,1.2211382037741345e-08
700000.0,1.221138203774135e-08
710000.0,1.2211382037741347e-08
720000.0,1.2211382037741347e-08
730000.0,1.2211382037741343e-08
740000.0,1.2211382037741345e-08
750000.0,1.2211382037741345e-08
760000.0,1.2211382037741345e-08
770000.0,1.2211382037741343e-08
780000.0,1.2211382037741347e-08
790000.0,1.2211382037741348e-08
800000.0,1.2211382037741347e-08
810000.0,1.2211382037741343e-08
820000.0,1.2211382037741343e-08
830000.0,1.2211382037741343e-08
840000.0,1.2211382037741345e-08
850000.0,1.2211382037741345e-08
860000.0,1.2211382037741345e-08
870000.0,1.2211382037741343e-08
880000.0,1.2211382037741347e-08
890000.0,1.2211382037741345e-08
900000.0,1.2211382037741343e-08
910000.0,1.2211382037741345e-08
920000.0,1.2211382037741347e-08
930000.0,1.2211382037741348e-08
940000.0,1.2211382037741348e-08
950000.0,1.2211382037741343e-08
960000.0,1.2211382037741343e-08
970000.0,1.2211382037741343e-08
980000.0,1.2211382037741343e-08
990000.0,1.2211382037741345e-08
