M.H_b.CO2aq Time [a],M.H_b.CO2aq CO2aq [mol/kg]
0.0,1.6091728196586122e-05
10000.0,1.6091728196586376e-05
20000.0,1.6091728196586122e-05
30000.0,1.6091728196586064e-05
40000.0,1.6091728196586102e-05
50000.0,1.6091728196586095e-05
60000.0,1.6091728196586095e-05
70000.0,1.6091728196586102e-05
80000.0,1.6091728196586102e-05
90000.0,1.6091728196586102e-05
100000.0,1.60917281965861e-05
110000.0,1.6091728196586105e-05
120000.0,1.6091728196586105e-05
130000.0,1.6091728196586105e-05
140000.0,1.6091728196586105e-05
150000.0,1.6091728196586102e-05
160000.0,1.609172819658609e-05
170000.0,1.6091728196586105e-05
180000.0,1.60917281965861e-05
190000.0,1.609172819658609e-05
200000.0,1.6091728196586102e-05
210000.0,1.6091728196586102e-05
220000.0,1.60917281965861e-05
230000.0,1.6091728196586102e-05
240000.0,1.60917281965861e-05
250000.0,1.6091728196586102e-05
260000.0,1.6091728196586095e-05
270000.0,1.60917281965861e-05
280000.0,1.6091728196586102e-05
290000.0,1.609172819658609e-05
300000.0,1.6091728196586105e-05
310000.0,1.6091728196586102e-05
320000.0,1.60917281965861e-05
330000.0,1.60917281965861e-05
340000.0,1.60917281965861e-05
350000.0,1.60917281965861e-05
360000.0,1.6091728196586102e-05
370000.0,1.6091728196586102e-05
380000.0,1.60917281965861e-05
390000.0,1.6091728196586102e-05
400000.0,1.6091728196586095e-05
410000.0,1.6091728196586102e-05
420000.0,1.60917281965861e-05
430000.0,1.6091728196586105e-05
440000.0,1.6091728196586102e-05
450000.0,1.6091728196586105e-05
460000.0,1.6091728196586105e-05
470000.0,1.6091728196586105e-05
480000.0,1.60917281965861e-05
490000.0,1.6091728196586102e-05
500000.0,1.609172819658609e-05
510000.0,1.6091728196586095e-05
520000.0,1.6091728196586102e-05
530000.0,1.6091728196586095e-05
540000.0,1.6091728196586102e-05
550000.0,1.60917281965861e-05
560000.0,1.609172819658609e-05
570000.0,1.609172819658609e-05
580000.0,1.60917281965861e-05
590000.0,1.6091728196586105e-05
600000.0,1.6091728196586102e-05
610000.0,1.6091728196586095e-05
620000.0,1.6091728196586105e-05
630000.0,1.6091728196586095e-05
640000.0,1.6091728196586095e-05
650000.0,1.6091728196586102e-05
660000.0,1.6091728196586105e-05
670000.0,1.6091728196586105e-05
680000.0,1.60917281965861e-05
690000.0,1.6091728196586105e-05
700000.0,1.6091728196586095e-05
710000.0,1.6091728196586095e-05
720000.0,1.6091728196586095e-05
730000.0,1.6091728196586102e-05
740000.0,1.6091728196586102e-05
750000.0,1.6091728196586102e-05
760000.0,1.6091728196586105e-05
770000.0,1.6091728196586102e-05
780000.0,1.609172819658609e-05
790000.0,1.6091728196586095e-05
800000.0,1.6091728196586095e-05
810000.0,1.60917281965861e-05
820000.0,1.6091728196586102e-05
830000.0,1.6091728196586102e-05
840000.0,1.6091728196586102e-05
850000.0,1.6091728196586105e-05
860000.0,1.60917281965861e-05
870000.0,1.6091728196586102e-05
880000.0,1.6091728196586095e-05
890000.0,1.6091728196586105e-05
900000.0,1.6091728196586102e-05
910000.0,1.6091728196586102e-05
920000.0,1.6091728196586095e-05
930000.0,1.609172819658609e-05
940000.0,1.6091728196586095e-05
950000.0,1.60917281965861e-05
960000.0,1.6091728196586105e-05
970000.0,1.6091728196586102e-05
980000.0,1.6091728196586102e-05
990000.0,1.6091728196586105e-05
