Time [yrs],Dissolution Flow [10E13 mol/yr],Empty [dimensionless]
0,4.795685796,
1813.521242,4.795685796,
1855.46024,4.807081807,
1897.399237,4.807081807,
1939.338235,4.844377844,
1981.277233,4.953157953,
2019.403595,5.164156831,
2047.998366,5.412969746,
2068.967865,5.652665853,
2088.031046,5.912494912,
2105.187908,6.177452177,
2120.438453,6.422466422,
2139.501634,6.687423687,
2154.752179,6.975172975,
2168.641068,7.244200244,
2185.253268,7.552096052,
2199.142157,7.833536834,
2215.118918,8.129652241,
2231.004902,8.43956044,
2245.438453,8.715913716,
2260.144336,8.991045991,
2272.9439,9.268620269,
2288.194444,9.525030525,
2305.351307,9.793976394,
2324.414488,10.06292226,
2345.383987,10.32275132,
2368.259804,10.57536291,
2394.948257,10.81277981,
2431.168301,11.06970807,
2473.107298,11.28001628,
2515.046296,11.40744441,
2556.985294,11.47685648,
2598.924292,11.4975765,
2640.86329,11.47789248,
2682.802288,11.42402042,
2724.741285,11.34839235,
2766.680283,11.25100825,
2808.619281,11.14326414,
2850.558279,11.02412402,
2892.497277,10.89151589,
2934.436275,10.75994376,
2976.375272,10.61801162,
3018.31427,10.47607948,
3060.253268,10.33621934,
3102.192266,10.1963592,
3144.131264,10.05857106,
3186.070261,9.920782921,
3228.009259,9.787138787,
3269.948257,9.656602657,
3311.887255,9.525030525,
3353.826253,9.402782403,
3395.765251,9.279498279,
3437.704248,9.168646169,
3479.643246,9.051578052,
3521.582244,8.942797943,
3563.521242,8.832981833,
3605.46024,8.733525734,
3647.399237,8.635105635,
3689.338235,8.537721538,
3731.277233,8.446553447,
3773.216231,8.360565361,
