Time [yrs],Dissolution Flow [10E13 mol/yr],Empty [dimensionless]
0,1.268509269,
1835.852397,1.268509269,
1802.083333,1.271062271,
1872.276688,1.262922263,
1905.02451,1.264994265,
1946.963508,1.247382247,
1988.902505,1.192474192,
2030.841503,1.087838088,
2068.967865,0.960294849,
2118.532135,0.770821771,
2160.471133,0.630961631,
2202.410131,0.511821512,
2244.349129,0.421689422,
2286.288126,0.349169349,
2328.227124,0.291153291,
2370.166122,0.245569246,
2412.10512,0.206201206,
2454.044118,0.167869168,
2495.983115,0.136892737,
2545.275054,0.100356434,
2663.739107,0.012123679,
2705.678105,0.01315968,
2747.617102,0.01315968,
2789.5561,0.01315968,
2831.495098,0.01315968,
2873.434096,0.01315968,
2915.373094,0.015683082,
2957.312092,0.017049617,
3003.381445,0.004725727,
3042.007081,0.017528151,
3082.493646,0.019359653,
3125.068083,0.01315968,
3167.007081,0.01315968,
3208.946078,0.01315968,
3250.885076,0.01315968,
3292.824074,0.01315968,
3334.763072,0.01315968,
3376.70207,0.01315968,
3417.687908,0.011350789,
3460.580065,0.023273023,
3504.572021,0.014866994,
3544.458061,0.015046682,
3587.350218,0.013155158,
3628.336057,0.01315968,
3670.275054,0.01315968,
3712.214052,0.01315968,
3754.15305,0.01315968,
3788.466776,0.012617013,
2601.102941,0.043956044,
