Time [yrs],Dissolution Flow [10E13 mol/yr],Empty [dimensionless]
0,0.01039701,
1813.521242,0.01039701,
1855.46024,0.008325008,
1897.399237,0.012987013,
1939.338235,0.036297036,
1981.277233,0.115033115,
2023.216231,0.288045288,
2059.436275,0.542124542,
2084.735839,0.791661014,
2100.422113,0.990720391,
2142.101159,1.555074555,
2124.632353,1.268493646,
2166.190087,1.921041921,
2181.821895,2.151811152,
2197.962055,2.402523403,
2213.085512,2.669190069,
2227.192266,2.926739927,
2242.44281,3.183150183,
2257.693355,3.433862434,
2274.850218,3.708506309,
2293.913399,3.988848189,
2312.97658,4.255514856,
2335.852397,4.510310677,
2358.728214,4.781359381,
2391.135621,5.062831818,
2431.168301,5.302290302,
2473.107298,5.48980649,
2515.046296,5.596514597,
2556.985294,5.651422651,
2598.924292,5.656602657,
2640.86329,5.624486624,
2682.802288,5.559218559,
2724.741285,5.468050468,
2766.680283,5.374810375,
2808.619281,5.254634255,
2850.558279,5.131350131,
2892.497277,4.989417989,
2934.436275,4.856809857,
2976.375272,4.713841714,
3018.31427,4.571909572,
3060.253268,4.426869427,
3102.192266,4.284937285,
3144.131264,4.147149147,
3186.070261,4.009361009,
3228.009259,3.872608873,
3269.948257,3.741036741,
3311.887255,3.611536612,
3353.826253,3.485144485,
3395.765251,3.363932364,
3437.704248,3.254116254,
3479.643246,3.137048137,
3521.582244,3.029304029,
3563.521242,2.921559922,
3605.46024,2.817959818,
3647.399237,2.720575721,
3689.338235,2.626299626,
3731.277233,2.535131535,
3773.216231,2.442927443,
3801.811002,2.393976394,
