Time [year],Input to Atmosphere (Gt/yr),Input to Atmosphere (mol)
0,0.036630037,3.04996E+12
1800.913242,0.036630037,3.04996E+12
1818.26484,0.018315018,1.52498E+12
1837.442922,0.018315018,1.52498E+12
1854.794521,0.036630037,3.04996E+12
1873.059361,0.091575092,7.6249E+12
1891.324201,0.201465201,1.67748E+13
1904.634382,0.378630759,3.15263E+13
1916.684889,0.60104215,5.00451E+13
1926.940639,0.842490842,7.01491E+13
1936.073059,1.098901099,9.14988E+13
1945.205479,1.428571429,1.18948E+14
1950.684932,1.776556777,1.47923E+14
1957.077626,2.326007326,1.93673E+14
1963.47032,2.710622711,2.25697E+14
1968.949772,3.095238095,2.57722E+14
1975.222415,3.587249996,2.98689E+14
1982.811328,4.054377547,3.37583E+14
1989.534161,4.619339971,3.84624E+14
1996.256994,5.208561913,4.33685E+14
2002.979827,5.800191462,4.82947E+14
2008.550175,6.311888425,5.25553E+14
2013.544279,6.810887484,5.67101E+14
2018.538384,7.309601197,6.08626E+14
2023.916651,7.802679324,6.49682E+14
2028.142431,8.307313969,6.917E+14
2033.712779,8.835061652,7.35642E+14
2039.475207,9.41930787,7.84289E+14
2045.237636,9.990713512,8.31866E+14
2050.807983,10.52616554,8.7645E+14
2055.033764,11.01153932,9.16864E+14
2060.604112,11.53158266,9.60165E+14
2066.36654,12.09656801,1.00721E+15
2072.128969,12.6422925,1.05265E+15
2078.5774,13.20727786,1.09969E+15
2084.61423,13.73695162,1.14379E+15
2088.550175,14.21205294,1.18335E+15
2094.312603,14.64863254,1.2197E+15
2100.075032,15.06595126,1.25445E+15
2105.517325,15.49290042,1.29E+15
2114.386777,15.99528797,1.33183E+15
2123.03042,16.46236393,1.37072E+15
2133.594872,16.95351597,1.41162E+15
2148.961348,17.39844193,1.44866E+15
2169.129848,17.62393319,1.46744E+15
2186.417133,17.25205936,1.43647E+15
2197.94199,16.75898124,1.39542E+15
2208.091982,16.18201135,1.34738E+15
2215.13495,15.72855939,1.30962E+15
2220.897378,15.26177005,1.27076E+15
2224.833323,14.79629916,1.232E+15
2231.653911,14.32826016,1.19303E+15
2235.397775,13.83967623,1.15235E+15
2241.160203,13.28753146,1.10637E+15
2246.922632,12.70970553,1.05826E+15
2252.492979,12.17489553,1.01373E+15
2256.71876,11.65485219,9.70429E+14
2262.289108,11.09179292,9.23546E+14
2268.051536,10.47544526,8.72227E+14
2273.813964,9.868728038,8.21709E+14
2279.384312,9.312731087,7.75415E+14
2283.418012,8.859137732,7.37647E+14
2287.259631,8.454659581,7.03968E+14
2291.293331,8.014548831,6.67323E+14
2296.863678,7.496431581,6.24182E+14
2302.626107,6.937866515,5.77674E+14
2308.388535,6.37930145,5.31166E+14
2314.836967,5.833118368,4.85688E+14
2320.873797,5.294272759,4.40822E+14
2328.462709,4.828801871,4.02065E+14
2332.398654,4.385801991,3.65179E+14
2338.161082,3.96527312,3.30164E+14
2344.197912,3.546578617,2.95302E+14
2352.567153,3.101744369,2.58263E+14
2363.131605,2.55601988,2.12824E+14
2372.735653,2.116872173,1.76259E+14
2383.300105,1.705331705,1.41993E+14
2396.745771,1.260726754,1.04973E+14
2414.993462,0.815538139,6.79049E+13
2436.122366,0.47759752,3.97667E+13
2457.25127,0.262226037,2.1834E+13
2478.380175,0.143158876,1.192E+13
2499.509079,0.094131221,7.83774E+12
2520.637983,0.034738345,2.89245E+12
2536.073059,0.036630037,3.04996E+12
2559.054173,0.013585788,1.13121E+12
2581.250194,0.0071655,5.96628E+11
2601.311981,0.008332825,6.93824E+11
2622.440886,0.013585788,1.13121E+12
2643.56979,0.013585788,1.13121E+12
2664.698694,0.013585788,1.13121E+12
2685.827599,0.013585788,1.13121E+12
2706.956503,0.013585788,1.13121E+12
2728.085407,0.013585788,1.13121E+12
2749.214312,0.013585788,1.13121E+12
2770.343216,0.013585788,1.13121E+12
2788.590906,0.013585788,1.13121E+12
