Time [yrs],External Carbon Flow [10^13 mol/yr],Empty [dimensionless]
0,3.3,
1840.571188,3.381575904,
1803.44621,3.306381412,
1878.835286,3.60793045,
1916.529824,4.269072809,
1937.733002,5.074173586,
1956.580271,5.971692112,
1970.715723,6.801082169,
1984.851175,7.73710809,
1998.986626,8.7086793,
2012.866886,9.701408419,
2024.901621,10.5629585,
2039.037073,11.33310641,
2053.172525,12.07955746,
2069.663885,12.88525066,
2088.511155,13.65836068,
2109.714332,14.45635239,
2135.629327,15.28455761,
2168.612048,16.13764452,
2213.374312,16.79877826,
2265.204302,16.63074599,
2309.966566,15.8443959,
2345.305196,15.03320164,
2378.287916,14.17503683,
2411.270637,13.33718361,
2444.253358,12.51456408,
2479.591988,11.67671086,
2517.286526,10.87249872,
2557.336973,10.07322342,
2599.743328,9.307024984,
2646.861501,8.545494113,
2698.691491,7.776423333,
2750.521481,7.104294248,
2802.351471,6.50002435,
2854.18146,5.963613637,
2906.01145,5.482136552,
2957.84144,5.062055874,
3009.67143,4.683983264,
3061.50142,4.341455941,
3113.33141,4.044168077,
3165.1614,3.775962721,
3216.99139,3.546534043,
3268.82138,3.330030924,
3320.65137,3.147614656,
3372.48136,2.953714018,
3424.31135,2.863872757,
3476.14134,2.720888069,
3527.97133,2.632837008,
3579.80132,2.525886628,
3631.63131,2.399390652,
3683.461299,2.367076754,
3735.291289,2.243812167,
3778.799781,2.249296906,
