Time [yrs],Dissolution Flow [1E13 mol/yr],Empty [dimensionless]
1808.7461,1.180677,
1853.3503,1.2164316,
1931.4119,1.2529607,
1978.8302,1.1151699,
2017.9049,0.8382975,
2065.3699,0.38800865,
2112.8918,-0.44422215,
2160.3984,-1.172287,
2202.37,-2.1782568,
2263.8428,-3.079609,
2300.171,-3.634322,
2339.3027,-4.293136,
2403.5273,-4.95137,
2459.336,-5.262577,
2526.2812,-5.46936,
2612.7278,-5.5715256,
2729.8018,-5.3952045,
2838.4702,-4.941302,
2958.3115,-4.6260285,
3097.6333,-4.06725,
3245.3506,-3.716609,
3331.74,-3.4368324,
3440.4136,-3.0176513,
3521.2476,-2.8768919,
3629.9521,-2.6660428,
3786.0232,-2.2457647,
3786.0232,-2.2457647,
