Time [yrs],DIC [mmol/kg],Delta Isotope [permil]
0,2.291,
1838.368371,2.300837782,
1926.680026,2.298367702,
2014.991682,2.302007821,
2103.303337,2.31331819,
2191.614993,2.33476889,
2279.926649,2.356349595,
2368.238304,2.380010368,
2456.54996,2.401721077,
2544.861615,2.420537024,
2633.173271,2.44072235,
2721.484926,2.456582868,
2809.796582,2.470623326,
2898.108238,2.483103734,
2986.419893,2.494414103,
3074.731549,2.50442443,
3163.043204,2.513394723,
3251.35486,2.521584991,
3339.666515,2.528865228,
3427.978171,2.535365441,
3516.289827,2.54147564,
3604.601482,2.546805814,
3692.913138,2.552135988,
3773.196461,2.557711726,
