Time [yrs],DIC [mmol/kg],Delta Isotope [permil]
0,1.952,
1869.355071,1.952005348,
1948.203722,1.967849899,
1994.589525,2.004411765,
2022.868273,2.037542258,
2047.1072,2.068306288,
2075.385947,2.103093306,
2107.704516,2.137525355,
2144.062906,2.170537525,
2192.540759,2.205831643,
2261.073438,2.236884566,
2354.133603,2.250269685,
2443.009667,2.24979255,
2531.885731,2.247340033,
2620.761795,2.245145676,
2709.637859,2.244371197,
2798.513923,2.244371197,
2887.389987,2.244371197,
2976.266051,2.244758436,
3065.142115,2.246178315,
3154.018179,2.247210953,
3242.894243,2.249276231,
3331.770307,2.250437949,
3420.646371,2.252503227,
3509.522435,2.254439425,
3598.398499,2.256375622,
3687.274564,2.25869906,
3769.866461,2.261725265,
