time [yr],omega [dimensionless],empty [permil]
0,5.56,
1844.296296,5.579026217,
1923.580247,5.484519351,
1969.135802,5.188014981,
1992.839506,4.884394507,
2012.592593,4.552808989,
2028.395062,4.271161049,
2044.197531,3.971535581,
2060,3.677902622,
2075.802469,3.396254682,
2095.555556,3.078651685,
2119.259259,2.747066167,
2146.91358,2.42247191,
2182.469136,2.093483146,
2233.82716,1.799250936,
2308.888889,1.631733061,
2395.802469,1.65134491,
2482.716049,1.763568267,
2569.62963,1.886687096,
2656.54321,2.004358189,
2743.45679,2.119850187,
2830.37037,2.228804903,
2917.283951,2.331222336,
3004.197531,2.424923391,
3091.111111,2.512087164,
3178.024691,2.591624106,
3264.938272,2.664623766,
3351.851852,2.726727954,
3438.765432,2.787742594,
3525.679012,2.840040858,
3612.592593,2.88907048,
3699.506173,2.932652366,
3766.666667,2.962796504,
