time [yr],ph [dimensionless],empty [dimensionless]
0,7.91,
1881.78733,7.905758722,
1968.891403,7.903190798,
2043.715193,7.891424753,
2109.587104,7.869114007,
2165.158371,7.838098514,
2218.608597,7.800672551,
2273.755656,7.764287516,
2336.679864,7.722572509,
2392.911011,7.690283499,
2464.423077,7.656190183,
2540.441176,7.622014852,
2625.565611,7.593526692,
2705.316742,7.573426573,
2792.420814,7.5556651,
2879.524887,7.541969506,
2966.628959,7.53169781,
3053.733032,7.523994039,
3140.837104,7.518430204,
3227.941176,7.514150331,
3315.045249,7.511582407,
3402.149321,7.510298445,
3489.253394,7.510084451,
3576.357466,7.510298445,
3663.461538,7.510084451,
3750.565611,7.509534182,
