M.D_b.CO2aq Time [a],M.D_b.CO2aq CO2aq [mol/kg]
0.0,2.7752245451387457e-05
100.0,2.785554375098845e-05
200.0,2.790853121382918e-05
300.0,2.7932996455217306e-05
400.0,2.794205905481244e-05
500.0,2.7943135434080935e-05
600.0,2.7940324005844652e-05
700.0,2.793551108759011e-05
800.0,2.7929908932104756e-05
900.0,2.7924045338626044e-05
1000.0,2.7918276077298435e-05
1100.0,2.7912613554738882e-05
1200.0,2.7907357598713006e-05
1300.0,2.7902342809571838e-05
1400.0,2.789753182525945e-05
1500.0,2.7892992235420445e-05
1600.0,2.7888784635574888e-05
1700.0,2.7884893533623295e-05
1800.0,2.7881205177959705e-05
1900.0,2.7877720108603834e-05
2000.0,2.7874342524848045e-05
2100.0,2.787123797878565e-05
2200.0,2.7868173000447377e-05
2300.0,2.7865133337885e-05
2400.0,2.786213355024846e-05
2500.0,2.7859169728922603e-05
2600.0,2.7856254172386455e-05
2700.0,2.785337481011146e-05
2800.0,2.7850546805299146e-05
2900.0,2.784775389082737e-05
3000.0,2.7845009462450712e-05
3100.0,2.7842302225159817e-05
3200.0,2.7839638919090627e-05
3300.0,2.7837015074320787e-05
3400.0,2.7834430535729563e-05
3500.0,2.7831889022053347e-05
3600.0,2.7829380763156286e-05
3700.0,2.78269185335077e-05
3800.0,2.7824484673692338e-05
3900.0,2.782209520386646e-05
4000.0,2.7819738067147894e-05
4100.0,2.7817418797994983e-05
4200.0,2.781513623608046e-05
4300.0,2.7812884764959316e-05
4400.0,2.781066907609364e-05
4500.0,2.780849038427435e-05
4600.0,2.7806339327466646e-05
4700.0,2.7804225660199382e-05
4800.0,2.7802143193761955e-05
4900.0,2.7800088766718617e-05
5000.0,2.7798072411533035e-05
5100.0,2.7796081182893313e-05
5200.0,2.7794121864731758e-05
5300.0,2.779219468913185e-05
5400.0,2.779029382502466e-05
5500.0,2.778842225543487e-05
5600.0,2.7786580283598728e-05
5700.0,2.7784768303347843e-05
5800.0,2.778297913938835e-05
5900.0,2.778121839734934e-05
6000.0,2.7779492180836898e-05
6100.0,2.7777781562563923e-05
6200.0,2.7776099498455854e-05
6300.0,2.777444925509453e-05
6400.0,2.7772819323056392e-05
6500.0,2.7771211299490694e-05
6600.0,2.776963328649289e-05
6700.0,2.776807980529402e-05
6800.0,2.776654401048511e-05
6900.0,2.776503480933902e-05
7000.0,2.7763549195307705e-05
7100.0,2.776208700166879e-05
7200.0,2.7760645410426792e-05
7300.0,2.775922410200064e-05
7400.0,2.775782536338692e-05
7500.0,2.775645296985875e-05
7600.0,2.775509783389604e-05
7700.0,2.7753759330116197e-05
7800.0,2.7752442230749756e-05
7900.0,2.7751152686001425e-05
8000.0,2.7749882006521663e-05
8100.0,2.7748620789339946e-05
8200.0,2.7747381520645528e-05
8300.0,2.7746166750437024e-05
8400.0,2.7744970606879768e-05
8500.0,2.774379059533809e-05
8600.0,2.7742622468692716e-05
8700.0,2.7741477819978365e-05
8800.0,2.7740350901859926e-05
8900.0,2.7739241619399195e-05
9000.0,2.773814970001772e-05
9100.0,2.7737070008491858e-05
9200.0,2.773600763217604e-05
9300.0,2.7734962149811784e-05
9400.0,2.773393318503616e-05
9500.0,2.7732923189540562e-05
9600.0,2.773192847734122e-05
9700.0,2.7730941723197596e-05
9800.0,2.772997091068249e-05
9900.0,2.7729015610303308e-05
10000.0,2.7728078880499374e-05
10100.0,2.772715974665868e-05
10200.0,2.772625303732579e-05
10300.0,2.7725350692646255e-05
10400.0,2.772446304401659e-05
10500.0,2.7723590923416446e-05
10600.0,2.7722737790357264e-05
10700.0,2.7721897519619027e-05
10800.0,2.772107018575172e-05
10900.0,2.7720252561543892e-05
11000.0,2.7719439877677465e-05
11100.0,2.7718643338811743e-05
11200.0,2.77178629286851e-05
11300.0,2.7717094431739005e-05
11400.0,2.7716337860200778e-05
11500.0,2.7715593116034468e-05
11600.0,2.7714860047728113e-05
11700.0,2.7714131855655357e-05
11800.0,2.771341712175214e-05
11900.0,2.771271355127378e-05
12000.0,2.77120210536027e-05
12100.0,2.771133947526384e-05
12200.0,2.771066860572734e-05
12300.0,2.7710008273926802e-05
12400.0,2.7709358706795646e-05
12500.0,2.7708725558560555e-05
12600.0,2.7708090733611542e-05
12700.0,2.770746581881569e-05
12800.0,2.7706850892185184e-05
12900.0,2.770624571387516e-05
13000.0,2.770565014722084e-05
13100.0,2.770506398645526e-05
13200.0,2.770448861009067e-05
13300.0,2.7703927129999677e-05
