M.D_b.CO3 Time [a],M.D_b.CO3 CO3 [mol/kg]
0.0,8.68408559524507e-05
100.0,8.660139347345111e-05
200.0,8.647439345507765e-05
300.0,8.641993457789678e-05
400.0,8.640535003967213e-05
500.0,8.64095915289439e-05
600.0,8.642363728846192e-05
700.0,8.644218222384995e-05
800.0,8.64623751256192e-05
900.0,8.648291235492952e-05
1000.0,8.650271536620182e-05
1100.0,8.652181889060911e-05
1200.0,8.654036233161161e-05
1300.0,8.655833433085886e-05
1400.0,8.657495792779301e-05
1500.0,8.6590584054955e-05
1600.0,8.660544154365353e-05
1700.0,8.66198001885279e-05
1800.0,8.663253034939327e-05
1900.0,8.664416295258275e-05
2000.0,8.665528510257996e-05
2100.0,8.666587528845892e-05
2200.0,8.667636628711664e-05
2300.0,8.668674141763753e-05
2400.0,8.669698929635714e-05
2500.0,8.670709466425729e-05
2600.0,8.671706378695821e-05
2700.0,8.672731063809662e-05
2800.0,8.673783639395546e-05
2900.0,8.674860689337275e-05
3000.0,8.675962257903757e-05
3100.0,8.677086547841737e-05
3200.0,8.678235083185513e-05
3300.0,8.679404290009221e-05
3400.0,8.680596829436385e-05
3500.0,8.681770601660441e-05
3600.0,8.682965908649849e-05
3700.0,8.684143240199323e-05
3800.0,8.685299880677556e-05
3900.0,8.686481620717261e-05
4000.0,8.687685963788781e-05
4100.0,8.688914148266541e-05
4200.0,8.690079062239385e-05
4300.0,8.691140353751956e-05
4400.0,8.692145050328484e-05
4500.0,8.693096869995353e-05
4600.0,8.693994790027935e-05
4700.0,8.694841897670294e-05
4800.0,8.695636969628334e-05
4900.0,8.696423596761051e-05
5000.0,8.697160035525465e-05
5100.0,8.697845378962624e-05
5200.0,8.698522513341593e-05
5300.0,8.699150774405217e-05
5400.0,8.699730445685343e-05
5500.0,8.700303388750412e-05
5600.0,8.700868623137102e-05
5700.0,8.701428383205805e-05
5800.0,8.70198133713559e-05
5900.0,8.702566806832302e-05
6000.0,8.70318788956503e-05
6100.0,8.703839986492348e-05
6200.0,8.704563704433821e-05
6300.0,8.705290691411651e-05
6400.0,8.705957881917916e-05
6500.0,8.706608493735619e-05
6600.0,8.707242547084658e-05
6700.0,8.707824853571246e-05
6800.0,8.70835805652827e-05
6900.0,8.708884470807813e-05
7000.0,8.709403482031016e-05
7100.0,8.709875999045835e-05
7200.0,8.710301503338609e-05
7300.0,8.710722118031386e-05
7400.0,8.711137075177935e-05
7500.0,8.711546884502031e-05
7600.0,8.711952969412147e-05
7700.0,8.712354192905304e-05
7800.0,8.712790015448976e-05
7900.0,8.713304482118312e-05
8000.0,8.713825828856941e-05
8100.0,8.714290840410643e-05
8200.0,8.714742938980736e-05
8300.0,8.715183942430157e-05
8400.0,8.71561628772897e-05
8500.0,8.71600048048352e-05
8600.0,8.716337336817257e-05
8700.0,8.71667137718262e-05
8800.0,8.717001930614623e-05
8900.0,8.717327487261962e-05
9000.0,8.717647742639438e-05
9100.0,8.717963605700065e-05
9200.0,8.718276796123966e-05
9300.0,8.718587292739297e-05
9400.0,8.718935797626786e-05
9500.0,8.719321688749244e-05
9600.0,8.719741239097562e-05
9700.0,8.720198510506337e-05
9800.0,8.720647665386672e-05
9900.0,8.721129653781906e-05
10000.0,8.721645688420595e-05
10100.0,8.72219367904982e-05
10200.0,8.72277607050339e-05
10300.0,8.72334714602681e-05
10400.0,8.723950112104303e-05
10500.0,8.724544358362444e-05
10600.0,8.725126608333231e-05
10700.0,8.725742985759836e-05
10800.0,8.726389801876834e-05
10900.0,8.72702834813843e-05
11000.0,8.727654339551463e-05
11100.0,8.728313807900256e-05
11200.0,8.72892029452413e-05
11300.0,8.729473528755638e-05
11400.0,8.730018637710976e-05
11500.0,8.730556473428286e-05
11600.0,8.731002093482172e-05
11700.0,8.731354831210565e-05
11800.0,8.731706914602982e-05
11900.0,8.73205683799325e-05
12000.0,8.732403431480496e-05
12100.0,8.732745994721363e-05
12200.0,8.733042271537908e-05
12300.0,8.733291796200144e-05
12400.0,8.733540050221783e-05
12500.0,8.733786211573131e-05
12600.0,8.734029692037566e-05
12700.0,8.734227373577904e-05
12800.0,8.734378817527004e-05
12900.0,8.734530486009212e-05
13000.0,8.734680537995396e-05
13100.0,8.734828365825835e-05
13200.0,8.734974661346458e-05
13300.0,8.735078317723347e-05
13400.0,8.73517977395247e-05
13500.0,8.735282909398189e-05
13600.0,8.735342157104291e-05
13700.0,8.735402145623266e-05
13800.0,8.73546239276491e-05
13900.0,8.735522447502066e-05
14000.0,8.735582039217926e-05
14100.0,8.735641006976808e-05
14200.0,8.73569925654067e-05
14300.0,8.735756734609358e-05
14400.0,8.73581341309183e-05
14500.0,8.735869279422035e-05
14600.0,8.73592433057547e-05
14700.0,8.735978569366936e-05
14800.0,8.736032002158644e-05
14900.0,8.736084637441445e-05
15000.0,8.73613648495687e-05
15100.0,8.73618755515406e-05
15200.0,8.736238139557923e-05
15300.0,8.736288060635351e-05
15400.0,8.736337226714091e-05
15500.0,8.736385154051927e-05
15600.0,8.736431164457317e-05
15700.0,8.73647629496249e-05
15800.0,8.736520462148434e-05
15900.0,8.736563885860159e-05
16000.0,8.736606670712076e-05
16100.0,8.736648821148471e-05
16200.0,8.736690343495966e-05
16300.0,8.736731245201007e-05
16400.0,8.736771534353505e-05
16500.0,8.736811219390488e-05
16600.0,8.736850526928e-05
16700.0,8.736889319138295e-05
16800.0,8.736927524974952e-05
16900.0,8.736965152788704e-05
17000.0,8.737002211092209e-05
17100.0,8.737038708401367e-05
17200.0,8.737074653160436e-05
17300.0,8.737110053711745e-05
17400.0,8.737144918283334e-05
17500.0,8.737179254984132e-05
17600.0,8.737213071802801e-05
17700.0,8.737246376608142e-05
17800.0,8.73728009164772e-05
17900.0,8.737315499093203e-05
18000.0,8.737372224976395e-05
18100.0,8.737501502026159e-05
18200.0,8.737710207438696e-05
18300.0,8.737997809333345e-05
18400.0,8.738383747294922e-05
18500.0,8.738897537153976e-05
18600.0,8.739493622770383e-05
18700.0,8.740186325250207e-05
18800.0,8.741023739802193e-05
18900.0,8.741990316113209e-05
19000.0,8.743025399643345e-05
19100.0,8.74389058520201e-05
19200.0,8.744713874675625e-05
19300.0,8.745523459374192e-05
19400.0,8.746175650972046e-05
19500.0,8.746793647236955e-05
19600.0,8.747406009042726e-05
19700.0,8.74786656327827e-05
19800.0,8.748298978504715e-05
19900.0,8.74872796856948e-05
20000.0,8.749153262908867e-05
20100.0,8.749499729745028e-05
20200.0,8.749830521028126e-05
20300.0,8.750086565589127e-05
