M.D_b.Fburial Time [a],M.D_b.Fburial Fburial [mol/kg]
0.0,11773315419391.352
100.0,11450726500771.086
200.0,11244189124412.32
300.0,11198718431049.734
400.0,11192842462028.953
500.0,11217425167606.992
600.0,11245421391751.188
700.0,11297692394243.07
800.0,11328456434021.945
900.0,11381947418471.805
1000.0,11412490879380.547
1100.0,11442766206560.828
1200.0,11494396034143.422
1300.0,11523569577446.25
1400.0,11552402114068.898
1500.0,11559851153604.102
1600.0,11609678130968.469
1700.0,11637060828710.672
1800.0,11643172916948.906
1900.0,11669409339081.367
2000.0,11675029595885.82
2100.0,11701186071368.703
2200.0,11704894074694.594
2300.0,11709986884337.96
2400.0,11714096430162.906
2500.0,11718562087588.36
2600.0,11722542581439.133
2700.0,11726881602143.773
2800.0,11731650714906.492
2900.0,11735449704436.312
3000.0,11739584988688.734
3100.0,11743255423149.836
3200.0,11747270348084.086
3300.0,11750815588515.82
3400.0,11754713582008.82
3500.0,11758135104653.031
3600.0,11761919752679.898
3700.0,11766144151265.195
3800.0,11768895998262.68
3900.0,11773012396207.43
4000.0,11775648379753.0
4100.0,11779660621017.977
4200.0,11783106685307.102
4300.0,11786095441131.117
4400.0,11789441910384.586
4500.0,11792320757954.922
4600.0,11795570826363.672
4700.0,11799276061010.266
4800.0,11801499002118.938
4900.0,11805116743150.617
5000.0,11808163506365.555
5100.0,11810250019192.04
5200.0,11813724612319.273
5300.0,11816638127591.82
5400.0,11819101262220.875
5500.0,11821931652521.266
5600.0,11824717752880.406
5700.0,11827046591953.742
5800.0,11829753616727.562
5900.0,11832418126663.695
6000.0,11835542258228.195
6100.0,11837206551514.156
6200.0,11840266278475.32
6300.0,11842763436020.21
6400.0,11844305436861.07
6500.0,11847254209542.281
6600.0,11849643097873.805
6700.0,11851995104869.508
6800.0,11853909543803.742
6900.0,11856195148921.375
7000.0,11858445332298.57
7100.0,11860660310020.195
7200.0,11862432020522.96
7300.0,11864585563392.664
7400.0,11866705231048.352
7500.0,11869298898824.156
7600.0,11870425751233.172
7700.0,11872454754862.469
7800.0,11874966281368.547
7900.0,11876920452056.398
8000.0,11877919295173.125
8100.0,11879831881827.656
8200.0,11882226205316.922
8300.0,11884067868440.445
8400.0,11885881400396.57
8500.0,11886743531278.71
8600.0,11889030803289.562
8700.0,11890766834686.031
8800.0,11892476123612.312
8900.0,11894158799517.133
9000.0,11894887629260.523
9100.0,11897041006020.25
9200.0,11898652935276.61
9300.0,11900239432641.062
9400.0,11901801022900.688
9500.0,11903849248196.164
9600.0,11904403658301.906
9700.0,11905901373343.555
9800.0,11907375167507.742
9900.0,11908825620590.695
10000.0,11910763521447.648
10100.0,11912158482307.078
10200.0,11912579505396.89
10300.0,11913949691614.969
10400.0,11915297877697.258
10500.0,11917138682619.938
10600.0,11918434090498.61
10700.0,11919709958570.406
10800.0,11920966200286.5
10900.0,11921252321722.04
11000.0,11922487021410.258
11100.0,11924213605794.438
