M.D_b.Fdiss Time [a],M.D_b.Fdiss Fdiss [mol/kg]
0.0,48226684580608.65
100.0,48544946268850.66
200.0,48729657223484.24
300.0,48796247810693.625
400.0,48780933366743.33
500.0,48778580994687.875
600.0,48749706456096.55
700.0,48720139741323.74
800.0,48667702672745.125
900.0,48637295556207.0
1000.0,48585145210929.26
1100.0,48555416178695.72
1200.0,48525945539276.56
1300.0,48474730272676.75
1400.0,48446131846256.8
1500.0,48438922625940.73
1600.0,48411105863421.61
1700.0,48383510685520.07
1800.0,48377568416016.914
1900.0,48351152089338.38
2000.0,48303574740723.56
2100.0,48298575341356.625
2200.0,48295047828784.16
2300.0,48290140243415.93
2400.0,48285287575419.97
2500.0,48281923140144.03
2600.0,48299062922024.44
2700.0,48295650212311.82
2800.0,48312566924890.97
2900.0,48308433484900.125
3000.0,48325662912731.92
3100.0,48321339832408.66
3200.0,48316914743995.19
3300.0,48311925767820.02
3400.0,48307313788090.586
3500.0,48323742292952.2
3600.0,48319638978280.34
3700.0,48336062155572.54
3800.0,48331623330321.69
3900.0,48348547632048.2
4000.0,48321918080540.4
4100.0,48317174968823.73
4200.0,48333666379289.17
4300.0,48286171156103.68
4400.0,48281364208928.586
4500.0,48256340216644.3
4600.0,48251998362309.484
4700.0,48248386871329.41
4800.0,48223530718710.805
4900.0,48220184337065.016
5000.0,48195580083842.3
5100.0,48192670898616.734
5200.0,48189796559673.34
5300.0,48186618357073.79
5400.0,48163202475223.39
5500.0,48160775702550.79
5600.0,48157870031625.164
5700.0,48156426034488.83
5800.0,48154083676785.77
5900.0,48172987347609.1
6000.0,48192263500391.484
6100.0,48168018131851.3
6200.0,48186866625545.3
6300.0,48205708580988.44
6400.0,48181392871615.89
6500.0,48178625856204.97
6600.0,48175415098586.65
6700.0,48151979003055.14
6800.0,48149716243054.414
6900.0,48147482292248.5
7000.0,48144766877038.3
7100.0,48121800768049.625
7200.0,48119998978150.16
7300.0,48117703414387.74
7400.0,48115947705155.02
7500.0,48114213776676.02
7600.0,48113422673907.85
7700.0,48111208511959.2
7800.0,48131267984480.48
7900.0,48129086027094.15
8000.0,48149420949470.87
8100.0,48125967067606.836
8200.0,48124049294221.25
8300.0,48122178585632.016
8400.0,48120344604367.08
8500.0,48118200125382.37
8600.0,48095205240557.1
8700.0,48093791402082.1
8800.0,48092392322184.375
8900.0,48091014391366.65
9000.0,48089143661522.15
9100.0,48087807839292.55
9200.0,48087438327628.98
9300.0,48086123963084.336
9400.0,48084648705560.97
9500.0,48105034958543.93
9600.0,48125809485767.86
9700.0,48123866258419.625
9800.0,48122956023158.57
9900.0,48120390278953.22
10000.0,48140775463990.266
10100.0,48161035980422.04
10200.0,48136464747249.33
10300.0,48156637176914.32
10400.0,48154062103057.51
10500.0,48173623923618.3
10600.0,48149566013610.45
10700.0,48169559224388.125
10800.0,48188915701027.07
10900.0,48164608404594.164
11000.0,48184579095686.04
11100.0,48181233366880.78
11200.0,48157061259783.086
11300.0,48154692121463.5
11400.0,48151842025927.49
11500.0,48149540668482.695
11600.0,48126061798607.24
11700.0,48101423094703.71
11800.0,48099923374717.39
11900.0,48098432855387.68
12000.0,48096956519976.39
12100.0,48095497351637.37
12200.0,48093717685131.05
12300.0,48071084019125.586
12400.0,48070028899712.47
12500.0,48068982674483.78
12600.0,48067947843454.5
12700.0,48044544213813.56
12800.0,48043902061885.266
12900.0,48043258957892.71
13000.0,48042104528041.12
13100.0,48041478214669.98
13200.0,48040858393351.93
13300.0,48040419224525.22
13400.0,48018415760257.92
13500.0,48017979415150.17
13600.0,48017728750148.22
13700.0,48017474950917.58
13800.0,48017220057506.984
13900.0,48016965978120.67
14000.0,48016713857683.36
14100.0,48016464377081.19
14200.0,48016217935016.164
14300.0,48015974756990.42
14400.0,48015734961851.43
14500.0,48015498602763.6
14600.0,48015265692523.0
14700.0,48015036219220.766
14800.0,48014810155939.69
14900.0,48014587466756.69
15000.0,48014368110457.34
15100.0,48014152042833.445
15200.0,48013938030502.375
15300.0,48013726824570.63
15400.0,48013518812884.875
15500.0,48012797565399.734
15600.0,48012603062062.31
15700.0,48012412278394.984
15800.0,48012225567041.375
15900.0,48012041998633.7
16000.0,48011861130927.41
16100.0,48011682945134.8
16200.0,48011507414510.875
16300.0,48011334507576.69
16400.0,48011164190133.14
16500.0,48010996426513.73
16600.0,48010830258726.96
16700.0,48010666269422.7
16800.0,48010504758940.984
16900.0,48010345691980.09
17000.0,48010189032553.83
17100.0,48010034744662.25
17200.0,48009882792608.31
17300.0,48009733141125.836
17400.0,48009585755431.78
17500.0,48009440601246.67
17600.0,48009297644799.41
17700.0,48009156852825.586
