M.D_b.Hplus Time [a],M.D_b.Hplus Hplus [mol/kg]
0.0,1.2238131339713766e-08
0.08333333333333333,1.2238131339724135e-08
0.16666666666666666,1.2238131339791408e-08
0.25,1.2238131339978073e-08
0.3333333333333333,1.223813134034999e-08
0.41666666666666663,1.22381313410308e-08
0.5,1.2238131342025535e-08
0.5833333333333333,1.2238131343473138e-08
0.6666666666666666,1.2238131345518714e-08
0.75,1.2238131348309678e-08
0.8333333333333333,1.2238131351999085e-08
0.9166666666666666,1.2238131356746402e-08
1.0,1.2238131362716542e-08
1.0833333333333333,1.2238131370078458e-08
1.1666666666666665,1.2238131379003743e-08
1.25,1.2238131389665388e-08
1.3333333333333333,1.22381314022367e-08
1.4166666666666665,1.2238131416890322e-08
1.5,1.2238131433797386e-08
1.5833333333333333,1.2238131453126774e-08
1.6666666666666665,1.2238131475040377e-08
1.75,1.2238131499708257e-08
1.8333333333333333,1.2238131527271527e-08
1.9166666666666665,1.2238131557890178e-08
2.0,1.2238131591721653e-08
2.083333333333333,1.2238131628914241e-08
2.1666666666666665,1.2238131669607936e-08
2.25,1.2238131713936714e-08
2.333333333333333,1.2238131762029524e-08
2.4166666666666665,1.2238131814010212e-08
2.5,1.2238131869997252e-08
2.583333333333333,1.2238131930103628e-08
2.6666666666666665,1.2238131994436874e-08
2.75,1.2238132063099166e-08
2.833333333333333,1.2238132136187397e-08
2.9166666666666665,1.2238132213793292e-08
3.0,1.223813229600351e-08
3.083333333333333,1.2238132382899766e-08
3.1666666666666665,1.223813247455897e-08
3.25,1.2238132571053371e-08
3.333333333333333,1.2238132672450726e-08
3.4166666666666665,1.2238132778814435e-08
3.5,1.2238132890203713e-08
3.583333333333333,1.223813300667376e-08
3.6666666666666665,1.2238133128275926e-08
3.75,1.223813325505788e-08
3.833333333333333,1.2238133387063777e-08
3.9166666666666665,1.2238133524334416e-08
4.0,1.2238133666907418e-08
4.083333333333333,1.223813381481737e-08
4.166666666666666,1.2238133968095993e-08
4.25,1.2238134126772303e-08
4.333333333333333,1.2238134290873377e-08
4.416666666666666,1.223813446042213e-08
4.5,1.2238134635442717e-08
4.583333333333333,1.2238134816313729e-08
4.666666666666666,1.2238135002560412e-08
4.75,1.2238135195610275e-08
4.833333333333333,1.2238135394402467e-08
4.916666666666666,1.2238135598780521e-08
