M.D_b.pH Time [a],M.D_b.pH pH [mol/kg]
0.0,7.910226278637105
100.0,7.90879764610956
200.0,7.9080610691660285
300.0,7.907733263538065
400.0,7.907624703440293
500.0,7.907629347542059
600.0,7.9076890780697005
700.0,7.90777673191562
800.0,7.907874238214665
900.0,7.907975356085616
1000.0,7.908072376717056
1100.0,7.90816738264157
1200.0,7.908255970460483
1300.0,7.908339900638445
1400.0,7.908419428807904
1500.0,7.908495776394245
1600.0,7.908567970615904
1700.0,7.908633721822603
1800.0,7.908695983965105
1900.0,7.90875518072005
2000.0,7.90881022791362
2100.0,7.908862096961402
2200.0,7.908913124892846
2300.0,7.908963786375088
2400.0,7.909013796096406
2500.0,7.909063055421497
2600.0,7.909111580950108
2700.0,7.9091595164312585
2800.0,7.909206700185762
2900.0,7.909253215054413
3000.0,7.90929897833145
3100.0,7.909344048528567
3200.0,7.909388394821231
3300.0,7.9094321087656265
3400.0,7.909475140749783
3500.0,7.909517532549361
3600.0,7.909559327954265
3700.0,7.909600439338555
3800.0,7.909640875384435
3900.0,7.909680661808732
4000.0,7.9097199151712125
4100.0,7.909758580619235
4200.0,7.909796680157439
4300.0,7.9098342066844864
4400.0,7.909871121186016
4500.0,7.909907488403803
4600.0,7.9099433413768345
4700.0,7.90997862193661
4800.0,7.910013431046719
4900.0,7.910047524380328
5000.0,7.9100810820674905
5100.0,7.910114304261767
5200.0,7.9101469329982175
5300.0,7.910179033365293
5400.0,7.910210770436144
5500.0,7.910242019451022
5600.0,7.910272808988936
5700.0,7.910303114620219
5800.0,7.910332978230378
5900.0,7.910362350667495
6000.0,7.910391255485527
6100.0,7.910419820125822
6200.0,7.9104479145727815
6300.0,7.910475555910386
6400.0,7.910502828934891
6500.0,7.910529564981056
6600.0,7.910555903989731
6700.0,7.910581849905552
6800.0,7.910607501471301
6900.0,7.910632737445598
7000.0,7.910657610959149
7100.0,7.910682105374293
7200.0,7.910706219421577
7300.0,7.91072998230426
7400.0,7.910753385663579
7500.0,7.910776369878071
7600.0,7.910799063654872
7700.0,7.91082137405865
7800.0,7.910843346850583
7900.0,7.910864899958137
8000.0,7.910886182396384
8100.0,7.910907241123021
8200.0,7.910927947059716
8300.0,7.910948262617589
8400.0,7.910968306340355
8500.0,7.910988087385108
8600.0,7.911007622793575
8700.0,7.911026802606946
8800.0,7.911045697366852
8900.0,7.911064304997862
9000.0,7.911082623508428
9100.0,7.911100694778691
9200.0,7.911118483761292
9300.0,7.911136019160458
9400.0,7.9111532864689424
9500.0,7.911170254811779
9600.0,7.911186947766088
9700.0,7.911203446565974
9800.0,7.911219696043398
9900.0,7.911235720073759
10000.0,7.911251477047651
10100.0,7.9112669328771394
10200.0,7.911282139804553
10300.0,7.91129724621673
10400.0,7.911312121458464
10500.0,7.911326743368111
10600.0,7.911341092198591
10700.0,7.911355204418402
10800.0,7.911369095488393
10900.0,7.911382808137589
11000.0,7.911396413308401
11100.0,7.911409770848304
11200.0,7.9114228910067315
11300.0,7.911435798636086
11400.0,7.911448504175831
11500.0,7.911461011698441
11600.0,7.911473323920879
11700.0,7.911485528581702
11800.0,7.911497496929112
11900.0,7.911509260192267
12000.0,7.911520872097696
12100.0,7.911532318043364
12200.0,7.911543589227308
12300.0,7.9115546844258
12400.0,7.911565603059569
12500.0,7.911576287809304
12600.0,7.911586913126297
12700.0,7.911597390945067
12800.0,7.911607717959227
12900.0,7.911617886064474
13000.0,7.911627894397253
13100.0,7.911637745100882
13200.0,7.911647417354821
13300.0,7.911656882465598
13400.0,7.91166618390137
13500.0,7.911675339021424
13600.0,7.91168449520558
13700.0,7.911693495283716
13800.0,7.911702372754079
13900.0,7.911711104700038
14000.0,7.911719721293192
14100.0,7.911728180340237
14200.0,7.911736454885574
14300.0,7.911744585733352
14400.0,7.91175258926395
14500.0,7.911760469524122
14600.0,7.911768227762713
14700.0,7.911775877875992
14800.0,7.911783562255046
14900.0,7.911791102773364
15000.0,7.91179851849316
15100.0,7.911805834779404
15200.0,7.911812983319822
15300.0,7.911819996058101
15400.0,7.911826894595087
15500.0,7.911833686168509
15600.0,7.911840372817261
15700.0,7.91184695557533
15800.0,7.911853435610235
15900.0,7.911859814307772
16000.0,7.911866093163655
16100.0,7.911872273656232
16200.0,7.911878473077658
16300.0,7.911884586765106
16400.0,7.911890534045862
16500.0,7.911896378686248
16600.0,7.911902140439923
16700.0,7.911907806465399
16800.0,7.911913400984205
16900.0,7.911918914559129
17000.0,7.911924343432835
17100.0,7.911929687449365
17200.0,7.91193494768735
17300.0,7.911940125476375
17400.0,7.911945222138706
17500.0,7.911950238902766
17600.0,7.911955177117647
17700.0,7.911960037854903
17800.0,7.911964815384837
17900.0,7.911969459479723
18000.0,7.911974042051644
