M.D_b.zcc Time [a],M.D_b.zcc zcc [mol/kg]
0.0,4785
100.0,4774
200.0,4768
300.0,4765
400.0,4765
500.0,4765
600.0,4765
700.0,4766
800.0,4767
900.0,4768
1000.0,4769
1100.0,4770
1200.0,4771
1300.0,4772
1400.0,4773
1500.0,4773
1600.0,4774
1700.0,4775
1800.0,4775
1900.0,4776
2000.0,4776
2100.0,4777
2200.0,4778
2300.0,4778
2400.0,4779
2500.0,4779
2600.0,4779
2700.0,4780
2800.0,4780
2900.0,4781
3000.0,4781
3100.0,4782
3200.0,4782
3300.0,4783
3400.0,4783
3500.0,4783
3600.0,4784
3700.0,4784
3800.0,4785
3900.0,4785
4000.0,4785
4100.0,4786
4200.0,4786
4300.0,4787
4400.0,4787
4500.0,4787
4600.0,4788
4700.0,4788
4800.0,4788
4900.0,4789
5000.0,4789
5100.0,4789
5200.0,4790
5300.0,4790
5400.0,4790
5500.0,4791
5600.0,4791
5700.0,4791
5800.0,4792
5900.0,4792
6000.0,4792
6100.0,4792
6200.0,4793
6300.0,4793
6400.0,4793
6500.0,4793
6600.0,4794
6700.0,4794
6800.0,4794
6900.0,4795
7000.0,4795
7100.0,4795
7200.0,4795
7300.0,4795
7400.0,4796
7500.0,4796
7600.0,4796
7700.0,4796
7800.0,4797
7900.0,4797
8000.0,4797
8100.0,4797
8200.0,4797
8300.0,4798
8400.0,4798
8500.0,4798
8600.0,4798
8700.0,4798
8800.0,4799
8900.0,4799
9000.0,4799
9100.0,4799
9200.0,4799
9300.0,4800
9400.0,4800
9500.0,4800
9600.0,4800
9700.0,4800
9800.0,4800
9900.0,4801
10000.0,4801
10100.0,4801
10200.0,4801
10300.0,4801
10400.0,4801
10500.0,4802
10600.0,4802
10700.0,4802
10800.0,4802
10900.0,4802
11000.0,4802
11100.0,4802
11200.0,4803
11300.0,4803
11400.0,4803
11500.0,4803
11600.0,4803
11700.0,4803
11800.0,4803
11900.0,4803
12000.0,4804
12100.0,4804
12200.0,4804
12300.0,4804
12400.0,4804
12500.0,4804
12600.0,4804
12700.0,4804
12800.0,4804
12900.0,4805
13000.0,4805
13100.0,4805
13200.0,4805
13300.0,4805
13400.0,4805
13500.0,4805
13600.0,4805
13700.0,4805
13800.0,4805
13900.0,4805
14000.0,4806
14100.0,4806
14200.0,4806
14300.0,4806
14400.0,4806
14500.0,4806
14600.0,4806
14700.0,4806
14800.0,4806
14900.0,4806
15000.0,4806
15100.0,4806
15200.0,4807
15300.0,4807
15400.0,4807
15500.0,4807
15600.0,4807
15700.0,4807
15800.0,4807
15900.0,4807
16000.0,4807
16100.0,4807
16200.0,4807
16300.0,4807
16400.0,4807
16500.0,4807
16600.0,4807
16700.0,4808
16800.0,4808
16900.0,4808
17000.0,4808
17100.0,4808
17200.0,4808
17300.0,4808
17400.0,4808
17500.0,4808
17600.0,4808
17700.0,4808
17800.0,4808
17900.0,4808
18000.0,4808
18100.0,4808
18200.0,4808
18300.0,4808
18400.0,4808
18500.0,4808
18600.0,4809
18700.0,4809
18800.0,4809
18900.0,4809
19000.0,4809
19100.0,4809
19200.0,4809
19300.0,4809
19400.0,4809
19500.0,4809
19600.0,4809
19700.0,4809
19800.0,4809
19900.0,4809
20000.0,4809
20100.0,4809
20200.0,4809
20300.0,4809
20400.0,4809
20500.0,4809
20600.0,4809
20700.0,4809
20800.0,4809
20900.0,4809
21000.0,4809
21100.0,4809
21200.0,4810
21300.0,4810
21400.0,4810
21500.0,4810
21600.0,4810
21700.0,4810
21800.0,4810
21900.0,4810
22000.0,4810
22100.0,4810
22200.0,4810
22300.0,4810
22400.0,4810
22500.0,4810
22600.0,4810
22700.0,4810
22800.0,4810
22900.0,4810
23000.0,4810
23100.0,4810
23200.0,4810
23300.0,4810
23400.0,4810
23500.0,4810
23600.0,4810
23700.0,4810
23800.0,4810
23900.0,4810
24000.0,4810
24100.0,4810
24200.0,4810
24300.0,4810
24400.0,4810
24500.0,4810
24600.0,4810
24700.0,4810
24800.0,4810
24900.0,4810
25000.0,4810
25100.0,4810
25200.0,4810
25300.0,4810
25400.0,4810
25500.0,4810
25600.0,4810
25700.0,4811
25800.0,4811
25900.0,4811
26000.0,4811
26100.0,4811
26200.0,4811
26300.0,4811
26400.0,4811
26500.0,4811
26600.0,4811
26700.0,4811
26800.0,4811
26900.0,4811
27000.0,4811
27100.0,4811
27200.0,4811
27300.0,4811
27400.0,4811
27500.0,4811
27600.0,4811
27700.0,4811
27800.0,4811
27900.0,4811
28000.0,4811
28100.0,4811
28200.0,4811
28300.0,4811
28400.0,4811
28500.0,4811
28600.0,4811
28700.0,4811
28800.0,4811
28900.0,4811
29000.0,4811
29100.0,4811
29200.0,4811
29300.0,4811
29400.0,4811
29500.0,4811
29600.0,4811
29700.0,4811
29800.0,4811
29900.0,4811
30000.0,4811
30100.0,4811
30200.0,4811
30300.0,4811
30400.0,4811
30500.0,4811
30600.0,4811
30700.0,4811
30800.0,4811
30900.0,4811
31000.0,4811
31100.0,4811
31200.0,4811
31300.0,4811
31400.0,4811
31500.0,4811
31600.0,4811
31700.0,4811
31800.0,4811
31900.0,4811
32000.0,4811
32100.0,4811
32200.0,4811
32300.0,4811
32400.0,4811
32500.0,4811
32600.0,4811
32700.0,4811
32800.0,4811
32900.0,4811
33000.0,4811
33100.0,4811
33200.0,4811
33300.0,4811
33400.0,4811
33500.0,4811
33600.0,4811
33700.0,4811
33800.0,4811
33900.0,4811
34000.0,4811
34100.0,4811
34200.0,4811
34300.0,4811
34400.0,4811
34500.0,4811
34600.0,4811
34700.0,4811
34800.0,4811
34900.0,4811
35000.0,4811
35100.0,4811
35200.0,4811
35300.0,4811
35400.0,4811
35500.0,4811
35600.0,4811
35700.0,4811
35800.0,4811
35900.0,4811
36000.0,4811
36100.0,4811
36200.0,4811
36300.0,4811
36400.0,4811
36500.0,4811
36600.0,4811
36700.0,4811
36800.0,4811
36900.0,4811
37000.0,4811
37100.0,4811
37200.0,4811
37300.0,4811
37400.0,4811
37500.0,4811
37600.0,4811
37700.0,4811
37800.0,4811
37900.0,4811
38000.0,4811
