M.D_b.zsat Time [a],M.D_b.zsat zsat [mol/kg]
0.0,3723
100.0,3709
200.0,3702
300.0,3698
400.0,3697
500.0,3698
600.0,3699
700.0,3700
800.0,3701
900.0,3702
1000.0,3703
1100.0,3704
1200.0,3705
1300.0,3706
1400.0,3707
1500.0,3708
1600.0,3709
1700.0,3710
1800.0,3711
1900.0,3712
2000.0,3712
2100.0,3713
2200.0,3713
2300.0,3714
2400.0,3715
2500.0,3715
2600.0,3716
2700.0,3716
2800.0,3717
2900.0,3718
3000.0,3718
3100.0,3719
3200.0,3720
3300.0,3720
3400.0,3721
3500.0,3722
3600.0,3722
3700.0,3723
3800.0,3724
3900.0,3724
4000.0,3725
4100.0,3726
4200.0,3727
4300.0,3727
4400.0,3728
4500.0,3728
4600.0,3729
4700.0,3729
4800.0,3730
4900.0,3730
5000.0,3731
5100.0,3731
5200.0,3731
5300.0,3732
5400.0,3732
5500.0,3732
5600.0,3733
5700.0,3733
5800.0,3733
5900.0,3734
6000.0,3734
6100.0,3735
6200.0,3735
6300.0,3735
6400.0,3736
6500.0,3736
6600.0,3737
6700.0,3737
6800.0,3737
6900.0,3737
7000.0,3738
7100.0,3738
7200.0,3738
7300.0,3739
7400.0,3739
7500.0,3739
7600.0,3739
7700.0,3740
7800.0,3740
7900.0,3740
8000.0,3740
8100.0,3741
8200.0,3741
8300.0,3741
8400.0,3741
8500.0,3742
8600.0,3742
8700.0,3742
8800.0,3742
8900.0,3742
9000.0,3743
9100.0,3743
9200.0,3743
9300.0,3743
9400.0,3743
9500.0,3744
9600.0,3744
9700.0,3744
9800.0,3744
9900.0,3745
10000.0,3745
10100.0,3745
10200.0,3746
10300.0,3746
10400.0,3746
10500.0,3747
10600.0,3747
10700.0,3747
10800.0,3748
10900.0,3748
11000.0,3748
11100.0,3749
11200.0,3749
11300.0,3749
11400.0,3750
11500.0,3750
11600.0,3750
11700.0,3751
11800.0,3751
11900.0,3751
12000.0,3751
12100.0,3751
12200.0,3752
12300.0,3752
12400.0,3752
12500.0,3752
12600.0,3752
12700.0,3752
12800.0,3752
12900.0,3752
13000.0,3753
13100.0,3753
13200.0,3753
13300.0,3753
13400.0,3753
13500.0,3753
13600.0,3753
13700.0,3753
13800.0,3753
13900.0,3753
14000.0,3753
14100.0,3753
14200.0,3753
14300.0,3753
14400.0,3753
14500.0,3753
14600.0,3753
14700.0,3753
14800.0,3753
14900.0,3753
15000.0,3753
15100.0,3753
15200.0,3753
15300.0,3753
15400.0,3753
15500.0,3754
15600.0,3754
15700.0,3754
15800.0,3754
15900.0,3754
16000.0,3754
16100.0,3754
16200.0,3754
16300.0,3754
16400.0,3754
16500.0,3754
16600.0,3754
16700.0,3754
16800.0,3754
16900.0,3754
17000.0,3754
17100.0,3754
17200.0,3754
17300.0,3754
17400.0,3754
17500.0,3754
17600.0,3754
17700.0,3754
17800.0,3754
17900.0,3754
18000.0,3754
18100.0,3754
18200.0,3754
18300.0,3754
18400.0,3755
18500.0,3755
18600.0,3755
18700.0,3756
18800.0,3756
18900.0,3757
19000.0,3757
19100.0,3758
19200.0,3758
19300.0,3759
19400.0,3759
19500.0,3760
19600.0,3760
19700.0,3760
19800.0,3760
19900.0,3761
20000.0,3761
20100.0,3761
20200.0,3761
20300.0,3761
20400.0,3762
20500.0,3762
20600.0,3762
20700.0,3762
20800.0,3762
20900.0,3762
21000.0,3762
21100.0,3762
21200.0,3762
21300.0,3762
21400.0,3762
21500.0,3762
21600.0,3762
21700.0,3762
21800.0,3763
21900.0,3763
22000.0,3763
22100.0,3763
22200.0,3763
22300.0,3763
22400.0,3763
22500.0,3763
22600.0,3763
22700.0,3762
22800.0,3762
22900.0,3762
23000.0,3762
23100.0,3762
23200.0,3762
23300.0,3762
23400.0,3762
23500.0,3762
23600.0,3762
23700.0,3762
23800.0,3762
23900.0,3762
24000.0,3762
24100.0,3762
24200.0,3762
24300.0,3762
24400.0,3762
24500.0,3762
24600.0,3762
24700.0,3762
24800.0,3762
24900.0,3762
25000.0,3762
25100.0,3762
25200.0,3762
25300.0,3761
25400.0,3761
25500.0,3761
25600.0,3761
25700.0,3761
25800.0,3761
25900.0,3761
26000.0,3761
26100.0,3761
26200.0,3761
26300.0,3761
26400.0,3761
26500.0,3761
26600.0,3761
26700.0,3761
26800.0,3761
26900.0,3761
27000.0,3761
27100.0,3761
27200.0,3761
27300.0,3761
27400.0,3761
27500.0,3761
27600.0,3761
27700.0,3761
27800.0,3761
27900.0,3761
28000.0,3761
28100.0,3761
28200.0,3761
28300.0,3761
28400.0,3761
28500.0,3760
28600.0,3760
28700.0,3760
28800.0,3760
28900.0,3760
29000.0,3760
29100.0,3760
29200.0,3760
29300.0,3760
29400.0,3760
29500.0,3760
29600.0,3760
29700.0,3760
29800.0,3760
29900.0,3760
30000.0,3760
30100.0,3760
30200.0,3760
30300.0,3760
30400.0,3760
30500.0,3760
30600.0,3760
30700.0,3760
30800.0,3760
30900.0,3760
31000.0,3760
31100.0,3760
31200.0,3760
31300.0,3760
31400.0,3760
31500.0,3760
31600.0,3760
31700.0,3760
31800.0,3760
31900.0,3759
32000.0,3759
32100.0,3759
32200.0,3759
32300.0,3759
32400.0,3759
32500.0,3759
32600.0,3759
32700.0,3759
32800.0,3759
32900.0,3759
33000.0,3759
33100.0,3759
33200.0,3759
33300.0,3759
33400.0,3759
33500.0,3759
33600.0,3759
33700.0,3759
33800.0,3759
33900.0,3759
34000.0,3759
34100.0,3759
34200.0,3759
34300.0,3759
34400.0,3759
34500.0,3759
34600.0,3759
34700.0,3759
34800.0,3759
34900.0,3759
35000.0,3759
35100.0,3759
35200.0,3759
35300.0,3759
35400.0,3759
35500.0,3759
35600.0,3759
35700.0,3759
35800.0,3759
35900.0,3759
36000.0,3759
36100.0,3759
36200.0,3758
36300.0,3758
36400.0,3758
36500.0,3758
36600.0,3758
36700.0,3758
36800.0,3758
36900.0,3758
37000.0,3758
37100.0,3758
37200.0,3758
37300.0,3758
37400.0,3758
37500.0,3758
37600.0,3758
37700.0,3758
37800.0,3758
37900.0,3758
38000.0,3758
38100.0,3758
38200.0,3758
38300.0,3758
38400.0,3758
38500.0,3758
38600.0,3758
38700.0,3758
38800.0,3758
38900.0,3758
39000.0,3758
39100.0,3758
39200.0,3758
39300.0,3758
39400.0,3758
39500.0,3758
39600.0,3758
39700.0,3758
39800.0,3758
39900.0,3758
40000.0,3758
40100.0,3758
40200.0,3758
40300.0,3758
40400.0,3758
40500.0,3758
40600.0,3758
40700.0,3758
40800.0,3758
40900.0,3758
41000.0,3758
41100.0,3758
41200.0,3758
41300.0,3758
41400.0,3758
41500.0,3758
41600.0,3758
41700.0,3758
41800.0,3758
41900.0,3758
42000.0,3758
42100.0,3758
42200.0,3758
42300.0,3757
42400.0,3757
42500.0,3757
42600.0,3757
42700.0,3757
42800.0,3757
42900.0,3757
43000.0,3757
43100.0,3757
43200.0,3757
43300.0,3757
43400.0,3757
43500.0,3757
43600.0,3757
43700.0,3757
43800.0,3757
43900.0,3757
44000.0,3757
44100.0,3757
44200.0,3757
44300.0,3757
44400.0,3757
44500.0,3757
44600.0,3757
44700.0,3757
44800.0,3757
44900.0,3757
45000.0,3757
45100.0,3757
45200.0,3757
45300.0,3757
45400.0,3757
