M.H_b.CO2aq Time [a],M.H_b.CO2aq CO2aq [mol/kg]
0.0,1.610214953472449e-05
100.0,1.608593569023006e-05
200.0,1.598328361773524e-05
300.0,1.5926047939489353e-05
400.0,1.589346042101272e-05
500.0,1.587419405398937e-05
600.0,1.586223452887155e-05
700.0,1.585431096067868e-05
800.0,1.5848640900093685e-05
900.0,1.5844310029612e-05
1000.0,1.5840774323452736e-05
1100.0,1.5837725410593513e-05
1200.0,1.583502008145792e-05
1300.0,1.5832572875657455e-05
1400.0,1.5830310449018647e-05
1500.0,1.582821021773055e-05
1600.0,1.5826241327094498e-05
1700.0,1.5824422774253983e-05
1800.0,1.5822726851255503e-05
1900.0,1.582113331562466e-05
2000.0,1.581962645300605e-05
2100.0,1.581821078357783e-05
2200.0,1.58168589430642e-05
2300.0,1.5815555990393218e-05
2400.0,1.5814287296251145e-05
2500.0,1.5813045776788667e-05
2600.0,1.5811827933857487e-05
2700.0,1.581063059397345e-05
2800.0,1.580945321044964e-05
2900.0,1.5808294084685943e-05
3000.0,1.580715318830461e-05
3100.0,1.580602979496899e-05
3200.0,1.5804923528573416e-05
3300.0,1.580383429725442e-05
3400.0,1.5802761432426404e-05
3500.0,1.5801705530904363e-05
3600.0,1.5800665088076604e-05
3700.0,1.5799641062128748e-05
3800.0,1.579863222228105e-05
3900.0,1.5797638892227935e-05
4000.0,1.5796660855579223e-05
4100.0,1.579569749051795e-05
4200.0,1.5794748982574862e-05
4300.0,1.5793814737872873e-05
4400.0,1.5792894602986796e-05
4500.0,1.579198904225235e-05
4600.0,1.5791096778348998e-05
4700.0,1.579021814622368e-05
4800.0,1.5789353398826327e-05
4900.0,1.5788501033929882e-05
5000.0,1.5787662181146582e-05
5100.0,1.5786836160489614e-05
5200.0,1.578602227219188e-05
5300.0,1.578522106285443e-05
5400.0,1.5784432143042725e-05
5500.0,1.5783654883723535e-05
5600.0,1.578288949336455e-05
5700.0,1.5782136314064256e-05
5800.0,1.5781394056193265e-05
5900.0,1.5780662814517133e-05
6000.0,1.5779943656810644e-05
6100.0,1.5779234921287592e-05
6200.0,1.5778536439954073e-05
6300.0,1.5777849307188398e-05
6400.0,1.5777172837898942e-05
6500.0,1.5776505818785673e-05
6600.0,1.5775849247520903e-05
6700.0,1.5775203036966672e-05
6800.0,1.577456642634092e-05
6900.0,1.5773939243154714e-05
7000.0,1.5773321659453453e-05
7100.0,1.5772713688548984e-05
7200.0,1.5772115151034376e-05
7300.0,1.577152518631232e-05
7400.0,1.5770944064255606e-05
7500.0,1.577037235506868e-05
7600.0,1.576980971907375e-05
7700.0,1.5769254782000308e-05
7800.0,1.576870790568242e-05
7900.0,1.5768170190580127e-05
8000.0,1.5767641207489394e-05
8100.0,1.5767119468509355e-05
8200.0,1.576660499814949e-05
8300.0,1.5766098939536303e-05
8400.0,1.5765600980692704e-05
8500.0,1.5765110862764714e-05
8600.0,1.5764627223868923e-05
8700.0,1.576415099480047e-05
8800.0,1.5763682181786505e-05
8900.0,1.5763220725475713e-05
9000.0,1.5762766534531855e-05
9100.0,1.576231892100412e-05
9200.0,1.5761877787425368e-05
9300.0,1.5761443277417956e-05
9400.0,1.576101544743969e-05
9500.0,1.5760594547024292e-05
9600.0,1.5760180737256634e-05
9700.0,1.5759772309025857e-05
9800.0,1.5759369561364105e-05
9900.0,1.5758972724968906e-05
10000.0,1.5758582308247767e-05
10100.0,1.5758198676571923e-05
10200.0,1.575782137260341e-05
10300.0,1.5757448804633084e-05
10400.0,1.575708104953093e-05
10500.0,1.5756718632727625e-05
10600.0,1.5756362453612967e-05
10700.0,1.5756012176111423e-05
10800.0,1.5755667611542333e-05
10900.0,1.5755328420357652e-05
11000.0,1.5754993110413162e-05
11100.0,1.5754662333940333e-05
11200.0,1.575433699109347e-05
11300.0,1.575401689958427e-05
11400.0,1.5753701940976942e-05
11500.0,1.575339198935179e-05
11600.0,1.575308693675034e-05
11700.0,1.5752786120941964e-05
11800.0,1.5752489302231325e-05
11900.0,1.575219687070084e-05
12000.0,1.575190889397818e-05
12100.0,1.575162537861105e-05
12200.0,1.5751346280765085e-05
12300.0,1.5751071545212495e-05
12400.0,1.575080112634291e-05
12500.0,1.5750535925556713e-05
12600.0,1.5750274096039228e-05
12700.0,1.5750015455285428e-05
12800.0,1.5749760348837028e-05
12900.0,1.5749508954627227e-05
13000.0,1.574926134172401e-05
13100.0,1.574901753880681e-05
13200.0,1.574877766452584e-05
13300.0,1.5748542394586322e-05
13400.0,1.5748311267410324e-05
13500.0,1.5748084103321037e-05
13600.0,1.5747859455026374e-05
13700.0,1.574763714580223e-05
13800.0,1.5747417695268374e-05
13900.0,1.574720131804946e-05
14000.0,1.5746988123127837e-05
14100.0,1.574677836950989e-05
14200.0,1.574657269129205e-05
14300.0,1.574637067305616e-05
14400.0,1.5746172107182074e-05
