M.H_b.Hplus Time [a],M.H_b.Hplus Hplus [mol/kg]
0.0,6.000042804757722e-09
1000.0,5.9147814343244155e-09
2000.0,5.9065628749715115e-09
3000.0,5.901620300277029e-09
4000.0,5.896306728390282e-09
5000.0,5.8917045146177216e-09
6000.0,5.888793649277103e-09
7000.0,5.885920084044879e-09
8000.0,5.883849867657046e-09
9000.0,5.882005344972516e-09
10000.0,5.880268215495325e-09
11000.0,5.877631545667936e-09
12000.0,5.875303731281671e-09
13000.0,5.874128358451931e-09
14000.0,5.873644718815718e-09
15000.0,5.873383430866374e-09
16000.0,5.873163233173053e-09
17000.0,5.8729789487253815e-09
18000.0,5.872814477801096e-09
19000.0,5.870818528402426e-09
20000.0,5.867781528050452e-09
21000.0,5.86666042092022e-09
22000.0,5.8662983156362135e-09
23000.0,5.866332756459935e-09
24000.0,5.866619851953351e-09
25000.0,5.866975744146732e-09
26000.0,5.867154602046582e-09
27000.0,5.867438823719055e-09
28000.0,5.867688493632507e-09
29000.0,5.8680228216865455e-09
30000.0,5.868205947832962e-09
31000.0,5.868353236430947e-09
32000.0,5.868674533399038e-09
33000.0,5.868990061566793e-09
34000.0,5.869041036804936e-09
35000.0,5.869077620192548e-09
36000.0,5.869338596976754e-09
37000.0,5.869666187983603e-09
38000.0,5.869916501143081e-09
39000.0,5.869947390396292e-09
40000.0,5.869931390693961e-09
41000.0,5.8698510687383005e-09
42000.0,5.870096571475209e-09
43000.0,5.870324944305371e-09
44000.0,5.870521787519819e-09
45000.0,5.870690764657172e-09
46000.0,5.870835820447224e-09
47000.0,5.870885789895572e-09
48000.0,5.870868327580384e-09
49000.0,5.870873293322781e-09
50000.0,5.87086794044848e-09
51000.0,5.870875390387338e-09
52000.0,5.870869650046148e-09
53000.0,5.870877417870087e-09
54000.0,5.870920128090788e-09
55000.0,5.871037256083065e-09
56000.0,5.871139227376462e-09
57000.0,5.87122687699895e-09
58000.0,5.871302206981316e-09
59000.0,5.871366948734289e-09
60000.0,5.871422590425814e-09
61000.0,5.87147041109719e-09
62000.0,5.871511510024494e-09
