M.H_b.pH Time [a],M.H_b.pH pH [mol/kg]
0.0,8.221845651315729
10.0,8.21870505924115
20.0,8.219262789078254
30.0,8.219692766081163
40.0,8.220079522172226
50.0,8.220447878914158
60.0,8.220804882863531
70.0,8.221151530041436
80.0,8.221487139449987
90.0,8.221810491865758
100.0,8.222120590928373
110.0,8.22241695576302
120.0,8.222699464566785
130.0,8.222968260717165
140.0,8.223223588642433
150.0,8.223465793585397
160.0,8.223695318348343
170.0,8.223912675383245
180.0,8.224118397251505
190.0,8.22431303012309
200.0,8.224497125315084
210.0,8.224671227640222
220.0,8.224835871932097
230.0,8.224991566240584
240.0,8.225138800047885
250.0,8.225278045454196
260.0,8.225409735049091
270.0,8.225534284031745
280.0,8.225652110942645
290.0,8.225763625656638
300.0,8.225869200025416
310.0,8.225969171309986
320.0,8.22606385877368
330.0,8.226153567997724
340.0,8.226238589355502
350.0,8.226319198150106
360.0,8.226395652476082
370.0,8.226468197283939
380.0,8.226537061870433
390.0,8.226602454758892
400.0,8.226664557454834
410.0,8.226723556404314
420.0,8.2267796421526
430.0,8.226832995157014
440.0,8.22688377940654
450.0,8.226932146686957
460.0,8.226978239172922
470.0,8.227022190506622
480.0,8.227064126642997
490.0,8.227104166582674
500.0,8.22714242244996
510.0,8.227178999570432
520.0,8.227213997146503
530.0,8.22724750786586
540.0,8.227279619697628
550.0,8.227310407125927
560.0,8.227339926075883
570.0,8.227368241797501
580.0,8.227395434419648
590.0,8.227421579430104
600.0,8.227446740475065
610.0,8.227470968727168
620.0,8.227494298491791
630.0,8.227516782373698
640.0,8.227538472752213
650.0,8.227559419061457
660.0,8.227579666326264
670.0,8.227599253799983
680.0,8.227618223604685
690.0,8.227636608465124
700.0,8.227654444999114
710.0,8.227671758663147
720.0,8.22768854820587
730.0,8.22770482630823
740.0,8.227720623994538
750.0,8.227735980354602
760.0,8.22775092336469
770.0,8.227765481239077
780.0,8.227779678296711
790.0,8.227793536119142
800.0,8.227807065702311
810.0,8.227820267626539
820.0,8.227833156435963
830.0,8.227845757389678
840.0,8.227858093294163
850.0,8.227870179869862
860.0,8.227882031555378
870.0,8.227893662047556
880.0,8.22790508347338
890.0,8.227916308768425
900.0,8.227927339075217
910.0,8.227938167465567
920.0,8.227948800673458
930.0,8.227959243613856
940.0,8.227969496163283
950.0,8.227979569478158
960.0,8.227989479668782
970.0,8.227999239858867
980.0,8.228008860417962
990.0,8.228018336995428
1000.0,8.22802766253087
1010.0,8.228036844787372
1020.0,8.228045897987018
1030.0,8.228054832266382
1040.0,8.228063656626995
1050.0,8.228072378546939
1060.0,8.228081003425455
1070.0,8.22808953713489
1080.0,8.228097984164897
1090.0,8.228106340405363
1100.0,8.228114591175105
1110.0,8.228122736636374
1120.0,8.228130790879458
1130.0,8.228138764116803
1140.0,8.228146663379638
1150.0,8.228154492699225
1160.0,8.22816225590129
1170.0,8.228169956528442
1180.0,8.228177597707937
1190.0,8.228185182776683
1200.0,8.228192705197365
1210.0,8.22820014920434
1220.0,8.228207513389396
1230.0,8.228214806831039
1240.0,8.228221999556682
1250.0,8.228229098606427
1260.0,8.228236128510899
1270.0,8.22824310139506
1280.0,8.228250012836844
1290.0,8.228256880507146
1300.0,8.228263691912563
1310.0,8.228270433584639
1320.0,8.228277088297398
1330.0,8.228283678974643
1340.0,8.228290218625874
1350.0,8.228296703686985
1360.0,8.228303149844258
1370.0,8.228309553434263
1380.0,8.22831591403236
1390.0,8.228322233341386
1400.0,8.228328513552388
1410.0,8.22833475674927
1420.0,8.228340961920777
1430.0,8.228347104966907
1440.0,8.228353190918924
1450.0,8.228359215071379
1460.0,8.228365193969267
1470.0,8.228371136133688
1480.0,8.22837703852718
1490.0,8.228382912327543
1500.0,8.228388754516418
1510.0,8.22839456458909
1520.0,8.228400343708815
