M.L_b.CO2aq Time [a],M.L_b.CO2aq CO2aq [mol/kg]
0.0,8.897341348808058e-06
100.0,8.82972943676487e-06
200.0,8.770892103486094e-06
300.0,8.738405543664776e-06
400.0,8.720414750412533e-06
500.0,8.709741804381196e-06
600.0,8.703091008411742e-06
700.0,8.698723716188784e-06
800.0,8.695669210567516e-06
900.0,8.693376032825705e-06
1000.0,8.691528298287885e-06
1100.0,8.689959038953474e-06
1200.0,8.688572242932427e-06
1300.0,8.687310538530527e-06
1400.0,8.686154144417046e-06
1500.0,8.685093094653098e-06
1600.0,8.684107796361435e-06
1700.0,8.68318219163179e-06
1800.0,8.682336818462362e-06
1900.0,8.681557320989021e-06
2000.0,8.680825508844518e-06
2100.0,8.680135626827879e-06
2200.0,8.6794751714033e-06
2300.0,8.678836392708924e-06
2400.0,8.678214396783435e-06
2500.0,8.677606265622588e-06
2600.0,8.677009956399278e-06
2700.0,8.67641585031067e-06
2800.0,8.675817732813647e-06
2900.0,8.675212187202719e-06
3000.0,8.674596948090945e-06
3100.0,8.673970896627705e-06
3200.0,8.673332991256285e-06
3300.0,8.672683274552536e-06
3400.0,8.672021233688437e-06
3500.0,8.67135495215857e-06
3600.0,8.670681580862711e-06
3700.0,8.670007253891676e-06
3800.0,8.669336433354846e-06
3900.0,8.668662909726836e-06
4000.0,8.667983225219341e-06
4100.0,8.667294842258473e-06
4200.0,8.66661348219228e-06
4300.0,8.665957273960847e-06
4400.0,8.66532863028849e-06
4500.0,8.66472857441853e-06
4600.0,8.664157958496405e-06
4700.0,8.663616703242953e-06
4800.0,8.66310500367523e-06
4900.0,8.662614281314421e-06
5000.0,8.662147355280775e-06
5100.0,8.661706108705456e-06
5200.0,8.661283239581377e-06
5300.0,8.660882187422604e-06
5400.0,8.66050501486163e-06
5500.0,8.660144746600751e-06
5600.0,8.659797120421729e-06
5700.0,8.659458869014214e-06
5800.0,8.659128118730183e-06
5900.0,8.658795797361718e-06
6000.0,8.658455455072864e-06
6100.0,8.658103765405459e-06
6200.0,8.6577304362033e-06
6300.0,8.657346519965034e-06
6400.0,8.656961140333468e-06
6500.0,8.656577878324538e-06
6600.0,8.656202087544867e-06
6700.0,8.655841483457048e-06
6800.0,8.655500152132637e-06
6900.0,8.65517270776463e-06
7000.0,8.654855871271015e-06
7100.0,8.654555244490736e-06
7200.0,8.654274481529349e-06
7300.0,8.654007612942464e-06
7400.0,8.653751005529959e-06
7500.0,8.653502145336566e-06
7600.0,8.653259096005006e-06
7700.0,8.653020818891048e-06
7800.0,8.65277877304955e-06
7900.0,8.652518710053459e-06
8000.0,8.652249167575657e-06
8100.0,8.651978964195706e-06
8200.0,8.651710825923132e-06
8300.0,8.651448686047869e-06
8400.0,8.651192114233397e-06
8500.0,8.650948469179007e-06
8600.0,8.650722583952634e-06
8700.0,8.65050879756339e-06
8800.0,8.650303668811315e-06
8900.0,8.650105208231809e-06
9000.0,8.649912161348707e-06
9100.0,8.649723524722566e-06
9200.0,8.649538302065993e-06
9300.0,8.649355850041545e-06
9400.0,8.649167648546776e-06
9500.0,8.648968358625776e-06
9600.0,8.64875519384649e-06
9700.0,8.648525504976986e-06
9800.0,8.648286689948324e-06
9900.0,8.648035319694397e-06
10000.0,8.64776905696025e-06
10100.0,8.647486770850878e-06
10200.0,8.64718722247528e-06
10300.0,8.646878697708857e-06
10400.0,8.646557910175163e-06
10500.0,8.646230925547578e-06
10600.0,8.645902239842524e-06
10700.0,8.645565642319306e-06
10800.0,8.645217930791929e-06
10900.0,8.644864658511867e-06
11000.0,8.644510210171852e-06
11100.0,8.644148325296382e-06
11200.0,8.64379220797081e-06
11300.0,8.643450295456638e-06
11400.0,8.64311919023832e-06
11500.0,8.64279664400271e-06
11600.0,8.64249802471163e-06
11700.0,8.64223327408514e-06
11800.0,8.641990639260752e-06
11900.0,8.64176299744269e-06
12000.0,8.641545845940607e-06
12100.0,8.64133635707709e-06
12200.0,8.641141066324838e-06
12300.0,8.640964228692354e-06
12400.0,8.640799628384573e-06
12500.0,8.640643491961307e-06
12600.0,8.640493432601326e-06
12700.0,8.640356437778407e-06
12800.0,8.640237050720218e-06
12900.0,8.640129051022397e-06
13000.0,8.640028865501435e-06
13100.0,8.63993423997237e-06
13200.0,8.639843552426109e-06
13300.0,8.6397639050765e-06
13400.0,8.63969179961976e-06
13500.0,8.639624323658176e-06
13600.0,8.63956860479414e-06
13700.0,8.639520307948087e-06
13800.0,8.639476852950557e-06
13900.0,8.639436611729736e-06
14000.0,8.639398564868976e-06
14100.0,8.63936207569134e-06
14200.0,8.639326746193805e-06
14300.0,8.639292326697001e-06
14400.0,8.639258659574587e-06
14500.0,8.63922564430982e-06
14600.0,8.639193215822798e-06
14700.0,8.639161331035394e-06
14800.0,8.63912996054439e-06
14900.0,8.639099083460896e-06
15000.0,8.63906868421198e-06
15100.0,8.63903875055824e-06
15200.0,8.639009106144768e-06
15300.0,8.638979855108713e-06
15400.0,8.638951050015423e-06
15500.0,8.638922757664529e-06
15600.0,8.63889514553948e-06
15700.0,8.638868203842448e-06
15800.0,8.638842055731982e-06
15900.0,8.638816462804769e-06
16000.0,8.638791304138198e-06
16100.0,8.638766554342304e-06
16200.0,8.638742195599402e-06
16300.0,8.638718214803087e-06
16400.0,8.638694601794118e-06
16500.0,8.638671348269199e-06
16600.0,8.638648318423278e-06
16700.0,8.638625593061215e-06
16800.0,8.638603213197577e-06
16900.0,8.638581173113767e-06
17000.0,8.638559467309465e-06
17100.0,8.638538090507352e-06
17200.0,8.638517037607303e-06
17300.0,8.638496303643859e-06
17400.0,8.638475883757613e-06
17500.0,8.638455773178214e-06
17600.0,8.63843596721485e-06
17700.0,8.638416461250989e-06
17800.0,8.63839711286354e-06
17900.0,8.638377594313238e-06
18000.0,8.638354662568945e-06
18100.0,8.638317576748156e-06
18200.0,8.638255720336373e-06
18300.0,8.63816123496571e-06
18400.0,8.63802604456559e-06
18500.0,8.637839791284023e-06
18600.0,8.637601224486468e-06
18700.0,8.637309187388292e-06
18800.0,8.63695582034972e-06
18900.0,8.636536218948885e-06
19000.0,8.636052258822847e-06
19100.0,8.635550436783531e-06
19200.0,8.635060261348882e-06
19300.0,8.634580483833775e-06
19400.0,8.634138775061723e-06
19500.0,8.633728361667781e-06
19600.0,8.633339584166246e-06
19700.0,8.632995101328645e-06
19800.0,8.63268478288384e-06
