M.L_b.Hplus Time [a],M.L_b.Hplus Hplus [mol/kg]
0.0,5.512276590001724e-09
10.0,5.53028076335753e-09
20.0,5.527692553097671e-09
30.0,5.5245276012670296e-09
40.0,5.521012206665071e-09
50.0,5.517295310708031e-09
60.0,5.513488092799666e-09
70.0,5.509670091113209e-09
80.0,5.505900354389917e-09
90.0,5.502219029947628e-09
100.0,5.498653619918962e-09
110.0,5.4952201167354234e-09
120.0,5.491929049533933e-09
130.0,5.488785283058633e-09
140.0,5.485790299419768e-09
150.0,5.482942875579203e-09
160.0,5.4802402361693124e-09
170.0,5.477678021900841e-09
180.0,5.47525120128015e-09
190.0,5.472954199929463e-09
200.0,5.4707811284078046e-09
210.0,5.4687259752233875e-09
220.0,5.466782731189308e-09
230.0,5.4649455361587765e-09
240.0,5.463208699777043e-09
250.0,5.461566721479653e-09
260.0,5.460014408530395e-09
270.0,5.458546813997787e-09
280.0,5.457159122944472e-09
290.0,5.4558466424089355e-09
300.0,5.454604933464295e-09
310.0,5.453429869031068e-09
320.0,5.452317594291137e-09
330.0,5.45126447333373e-09
340.0,5.450267058750108e-09
350.0,5.449322077774907e-09
360.0,5.4484264573744215e-09
370.0,5.447577279188171e-09
380.0,5.44677181225961e-09
390.0,5.4460075206477254e-09
400.0,5.445282111583127e-09
410.0,5.4445933857806325e-09
420.0,5.4439392068944316e-09
430.0,5.443317493450257e-09
440.0,5.442726285422642e-09
450.0,5.44216375915391e-09
460.0,5.441628215046936e-09
470.0,5.441118058840678e-09
480.0,5.440631790427504e-09
490.0,5.440167996767621e-09
500.0,5.43972534729861e-09
510.0,5.43930259040249e-09
520.0,5.438898546626891e-09
530.0,5.438512114363428e-09
540.0,5.438142248693843e-09
550.0,5.437788013207342e-09
560.0,5.437448616586876e-09
570.0,5.437123302128607e-09
580.0,5.436811253553111e-09
590.0,5.436511651467049e-09
600.0,5.436223724407921e-09
610.0,5.4359467789172435e-09
620.0,5.435680321820003e-09
630.0,5.435423762196521e-09
640.0,5.435176559616571e-09
650.0,5.4349381642595305e-09
660.0,5.434708047753951e-09
670.0,5.434485741950158e-09
680.0,5.434270745789807e-09
690.0,5.434062670160989e-09
700.0,5.433861079134384e-09
710.0,5.433665604042265e-09
720.0,5.433476091979925e-09
730.0,5.433292356193335e-09
740.0,5.43311416022908e-09
750.0,5.432941172127117e-09
760.0,5.432773088393386e-09
770.0,5.432609576829128e-09
780.0,5.432450342991353e-09
790.0,5.432295126741255e-09
800.0,5.432143735250806e-09
810.0,5.431996058462876e-09
820.0,5.431851956210412e-09
830.0,5.431711232320825e-09
840.0,5.431573659562866e-09
850.0,5.431439046125246e-09
860.0,5.4313072137035e-09
870.0,5.431177996669635e-09
880.0,5.43105124941605e-09
890.0,5.4309268167255885e-09
900.0,5.430804624481134e-09
910.0,5.43068465237986e-09
920.0,5.430566853534126e-09
930.0,5.430451186126514e-09
940.0,5.430337622570431e-09
950.0,5.4302260875420534e-09
960.0,5.430116462930212e-09
970.0,5.430008622229023e-09
980.0,5.429902445595101e-09
990.0,5.429797895681249e-09
1000.0,5.429694982684835e-09
1010.0,5.429593665744268e-09
1020.0,5.429493857025981e-09
1030.0,5.429395461704142e-09
1040.0,5.429298376652951e-09
1050.0,5.429202508261429e-09
1060.0,5.4291077883689255e-09
1070.0,5.429014144236668e-09
1080.0,5.428921521348611e-09
1090.0,5.42882990618944e-09
1100.0,5.428739367660819e-09
1110.0,5.428649933192069e-09
1120.0,5.428561552240407e-09
1130.0,5.42847414113038e-09
1140.0,5.42838762058783e-09
1150.0,5.428301933540594e-09
1160.0,5.428217029611061e-09
1170.0,5.4281328633576625e-09
1180.0,5.428049395675895e-09
1190.0,5.4279665854955476e-09
1200.0,5.427884448589562e-09
1210.0,5.427803066953983e-09
1220.0,5.4277224912687115e-09
1230.0,5.427642702117043e-09
1240.0,5.427563915773065e-09
1250.0,5.427486129147216e-09
1260.0,5.427409148138757e-09
1270.0,5.427332845168094e-09
1280.0,5.427257277267918e-09
1290.0,5.427182233479474e-09
1300.0,5.42710783047001e-09
1310.0,5.4270341168503e-09
1320.0,5.426961299548325e-09
1330.0,5.426889206404804e-09
1340.0,5.426817712744086e-09
1350.0,5.426746867910539e-09
1360.0,5.426676486399838e-09
1370.0,5.4266066078233285e-09
1380.0,5.426537235892876e-09
1390.0,5.426468350552839e-09
1400.0,5.4263999252183564e-09
1410.0,5.426331934024939e-09
1420.0,5.4262643690926735e-09
1430.0,5.4261973756248635e-09
1440.0,5.42613094008417e-09
1450.0,5.426065178925694e-09
1460.0,5.425999946672997e-09
1470.0,5.425935150600458e-09
1480.0,5.425870827799121e-09
1490.0,5.4258068443823134e-09
1500.0,5.425743231590086e-09
1510.0,5.4256799941599715e-09
1520.0,5.425617118904787e-09
1530.0,5.42555458749716e-09
1540.0,5.425492381924442e-09
1550.0,5.425430486233307e-09
1560.0,5.425368888745538e-09
1570.0,5.425307578028987e-09
1580.0,5.4252465421157385e-09
1590.0,5.4251857692299775e-09
1600.0,5.425125248230651e-09
1610.0,5.4250649687707404e-09
1620.0,5.42500496655822e-09
1630.0,5.4249453230710985e-09
1640.0,5.424886185850249e-09
1650.0,5.424827468743068e-09
1660.0,5.424769099747375e-09
1670.0,5.424711105988919e-09
1680.0,5.424653378926829e-09
1690.0,5.424595939282296e-09
1700.0,5.42453879074299e-09
1710.0,5.4244819235706464e-09
1720.0,5.424425323429432e-09
1730.0,5.4243689760422096e-09
1740.0,5.424312868494816e-09
1750.0,5.424256989325407e-09
1760.0,5.424201343875727e-09
1770.0,5.424146038647276e-09
1780.0,5.42409117553042e-09
1790.0,5.424036704563185e-09
1800.0,5.423982687469979e-09
1810.0,5.423929018425535e-09
1820.0,5.423875634752504e-09
1830.0,5.423822560989712e-09
1840.0,5.423769712591969e-09
1850.0,5.423717110349736e-09
1860.0,5.423664756928079e-09
1870.0,5.423612643670194e-09
1880.0,5.423560758898892e-09
1890.0,5.42350909134459e-09
1900.0,5.423457630907103e-09
1910.0,5.423406410869051e-09
1920.0,5.423355517462108e-09
1930.0,5.423305091314917e-09
1940.0,5.423255053146847e-09
1950.0,5.423205335388388e-09
1960.0,5.423155961589733e-09
1970.0,5.423106831293395e-09
1980.0,5.423057962149133e-09
1990.0,5.42300935428291e-09
2000.0,5.422961015602143e-09
2010.0,5.422913093790437e-09
2020.0,5.422865602196278e-09
2030.0,5.42281863256088e-09
2040.0,5.422772067574343e-09
2050.0,5.422725832456293e-09
2060.0,5.422679951494394e-09
2070.0,5.4226343219113825e-09
2080.0,5.422588962771856e-09
2090.0,5.422543882484701e-09
2100.0,5.422499115738507e-09
2110.0,5.422454586329956e-09
2120.0,5.422410278085455e-09
2130.0,5.422366159428074e-09
2140.0,5.42232223993093e-09
2150.0,5.422278485926504e-09
2160.0,5.422234911049118e-09
2170.0,5.422191515050257e-09
2180.0,5.4221482921844855e-09
2190.0,5.422105235653526e-09
2200.0,5.4220623389639206e-09
2210.0,5.422019596129799e-09
2220.0,5.421977001922174e-09
2230.0,5.421934550768372e-09
2240.0,5.421892238353219e-09
2250.0,5.421850059835742e-09
2260.0,5.421808010556734e-09
2270.0,5.4217660871847286e-09
2280.0,5.421724280633055e-09
2290.0,5.421682587317958e-09
2300.0,5.421641030738578e-09
2310.0,5.4215995873303536e-09
2320.0,5.421558249277499e-09
2330.0,5.421517001183492e-09
2340.0,5.421475860136287e-09
2350.0,5.421434799396086e-09
2360.0,5.4213938292197176e-09
2370.0,5.421352952734506e-09
2380.0,5.421312169373096e-09
