M.L_b.Omega Time [a],M.L_b.Omega pH [mol/kg]
0.0,5.559622628899851
1000.0,5.598225045717217
2000.0,5.604943042363801
3000.0,5.60904891141099
4000.0,5.613493112919551
5000.0,5.617324616967865
6000.0,5.619747704560756
7000.0,5.622155134552261
8000.0,5.623885247976522
9000.0,5.625427110876161
10000.0,5.626890982595586
11000.0,5.629115540710545
12000.0,5.631060991770383
13000.0,5.632038421377513
14000.0,5.632438968136417
15000.0,5.632657954653914
16000.0,5.632842775798759
17000.0,5.632997527815434
18000.0,5.633135843700875
19000.0,5.634858243889497
20000.0,5.637398458174838
21000.0,5.638327873793558
22000.0,5.638627245597151
23000.0,5.6385943222086885
24000.0,5.638348404822724
25000.0,5.6380488059486105
26000.0,5.6378990037934855
27000.0,5.637659109690122
28000.0,5.63744908029604
29000.0,5.6371660461614335
30000.0,5.637013739508778
31000.0,5.636889883165113
32000.0,5.636615658195664
33000.0,5.636352903499908
34000.0,5.636311398569274
35000.0,5.636280650247252
36000.0,5.636057014985701
37000.0,5.635781448503679
38000.0,5.635572237724143
39000.0,5.635548170234326
40000.0,5.6355623203232055
41000.0,5.635629316729565
42000.0,5.635419544272528
43000.0,5.635227615282562
44000.0,5.635062171830555
45000.0,5.634920157062735
46000.0,5.634798252444121
47000.0,5.634758186589208
48000.0,5.634772813179728
49000.0,5.634768388470568
50000.0,5.6347728502844046
51000.0,5.634766622284707
52000.0,5.6347713064621034
53000.0,5.634764917533094
54000.0,5.634727575053873
55000.0,5.6346288899755255
56000.0,5.634543199660765
57000.0,5.6344695483178535
58000.0,5.63440625064217
59000.0,5.634351851103473
60000.0,5.634305098775165
61000.0,5.634264918598424
62000.0,5.634230386667173
63000.0,5.634200708962068
64000.0,5.634175203095851
65000.0,5.634153282611216
66000.0,5.634134443497915
67000.0,5.634118252597721
68000.0,5.634104337645978
69000.0,5.634092878288233
70000.0,5.63408853274553
71000.0,5.634085399697631
72000.0,5.634082711464469
73000.0,5.634080401426327
74000.0,5.634078416347653
75000.0,5.634076710515184
76000.0,5.634075244646562
77000.0,5.634073984985351
78000.0,5.634072902523853
79000.0,5.634071972334922
80000.0,5.634071172997918
81000.0,5.634070486105615
82000.0,5.634069895840113
83000.0,5.634069388608701
84000.0,5.634068952730758
85000.0,5.634068578168807
86000.0,5.634068256297361
87000.0,5.634067979704332
88000.0,5.634067742020321
89000.0,5.63406753777189
90000.0,5.634067362255546
91000.0,5.634067211429496
92000.0,5.634067081820509
93000.0,5.634066970443938
94000.0,5.634066874734966
95000.0,5.634066792489594
96000.0,5.63406672181387
97000.0,5.634066661080259
98000.0,5.6340666088901905
99000.0,5.634066564041822
100000.0,5.634066525502369
101000.0,5.6340664923843695
102000.0,5.634066463925129
103000.0,5.6340664394693185
104000.0,5.634066418453755
105000.0,5.634066400394527
106000.0,5.6340663848757275
107000.0,5.634066371539979
108000.0,5.634066360080203
109000.0,5.634066350232527
110000.0,5.634066341770132
111000.0,5.634066334498175
112000.0,5.63406632824918
113000.0,5.634066322879235
114000.0,5.6340663182646855
115000.0,5.634066314299262
116000.0,5.634066310891689
117000.0,5.634066307963466
118000.0,5.634066305447154
119000.0,5.6340663032848255
120000.0,5.634066301426672
121000.0,5.634066299829913
122000.0,5.634066298457776
123000.0,5.634066297278632
124000.0,5.634066296265385
125000.0,5.634066295394695
126000.0,5.6340662946464555
127000.0,5.634066294003487
128000.0,5.634066293450968
129000.0,5.6340662929761685
130000.0,5.634066292568164
131000.0,5.634066292217551
132000.0,5.634066291916258
133000.0,5.634066291657343
134000.0,5.634066291434862
135000.0,5.634066291243663
136000.0,5.634066291079373
137000.0,5.634066290938193
138000.0,5.634066290816859
139000.0,5.6340662907126
140000.0,5.634066290622998
141000.0,5.634066290546032
142000.0,5.6340662904798755
143000.0,5.6340662904230285
144000.0,5.634066290374176
145000.0,5.6340662903322025
146000.0,5.634066290296121
147000.0,5.634066290265128
148000.0,5.634066290238489
149000.0,5.634066290215594
150000.0,5.634066290195934
151000.0,5.634066290179019
152000.0,5.63406629016449
153000.0,5.63406629015201
154000.0,5.634066290141301
155000.0,5.634066290132076
156000.0,5.634066290124146
157000.0,5.634066290117368
158000.0,5.634066290111531
159000.0,5.634066290106514
160000.0,5.634066290102196
161000.0,5.634066290098446
162000.0,5.634066290095223
163000.0,5.634066290092453
164000.0,5.634066290090106
165000.0,5.634066290088124
166000.0,5.634066290086425
167000.0,5.634066290084948
168000.0,5.6340662900836564
169000.0,5.634066290082546
170000.0,5.634066290081588
171000.0,5.634066290080759
172000.0,5.634066290080045
173000.0,5.634066290079441
174000.0,5.634066290078919
175000.0,5.634066290078456
176000.0,5.6340662900780645
177000.0,5.634066290077734
178000.0,5.634066290077453
179000.0,5.634066290077193
180000.0,5.634066290076997
181000.0,5.634066290076824
182000.0,5.634066290076655
183000.0,5.634066290076553
184000.0,5.634066290076432
185000.0,5.634066290076332
186000.0,5.6340662900762455
187000.0,5.634066290076151
188000.0,5.634066290076133
189000.0,5.634066290076125
190000.0,5.634066290076115
191000.0,5.63406629007611
192000.0,5.634066290076102
193000.0,5.634066290076093
194000.0,5.634066290076091
195000.0,5.634066290076085
196000.0,5.634066290076076
197000.0,5.634066290076065
198000.0,5.634066290076056
199000.0,5.634066290076045
200000.0,5.634066290076034
201000.0,5.63406629007602
202000.0,5.634066290075996
203000.0,5.634066290075963
204000.0,5.634066290075909
205000.0,5.634066290075863
206000.0,5.634066290075857
207000.0,5.6340662900758565
208000.0,5.634066290075856
209000.0,5.634066290075857
210000.0,5.63406629007586
211000.0,5.634066290075855
212000.0,5.634066290075858
213000.0,5.634066290075857
214000.0,5.6340662900758565
215000.0,5.634066290075854
216000.0,5.63406629007586
217000.0,5.63406629007586
218000.0,5.6340662900758565
219000.0,5.634066290075856
220000.0,5.63406629007586
221000.0,5.634066290075857
222000.0,5.634066290075853
223000.0,5.634066290075856
224000.0,5.634066290075857
225000.0,5.634066290075857
226000.0,5.634066290075856
227000.0,5.634066290075857
228000.0,5.63406629007586
229000.0,5.634066290075856
230000.0,5.6340662900758565
231000.0,5.6340662900758565
232000.0,5.634066290075854
233000.0,5.634066290075858
234000.0,5.634066290075857
235000.0,5.634066290075856
236000.0,5.634066290075855
237000.0,5.6340662900758565
238000.0,5.634066290075857
239000.0,5.6340662900758565
240000.0,5.634066290075856
241000.0,5.634066290075857
242000.0,5.634066290075857
243000.0,5.634066290075854
244000.0,5.6340662900758565
245000.0,5.6340662900758565
246000.0,5.634066290075857
247000.0,5.634066290075854
248000.0,5.6340662900758565
249000.0,5.6340662900758565
250000.0,5.634066290075855
251000.0,5.6340662900758565
252000.0,5.6340662900758565
253000.0,5.634066290075854
254000.0,5.634066290075857
255000.0,5.6340662900758565
256000.0,5.634066290075856
257000.0,5.634066290075853
258000.0,5.634066290075857
259000.0,5.63406629007586
260000.0,5.6340662900758565
261000.0,5.634066290075856
262000.0,5.6340662900758565
263000.0,5.6340662900758565
264000.0,5.634066290075852
265000.0,5.6340662900758565
266000.0,5.634066290075857
267000.0,5.634066290075856
268000.0,5.634066290075854
269000.0,5.634066290075858
270000.0,5.6340662900758565
271000.0,5.634066290075856
272000.0,5.634066290075857
273000.0,5.634066290075858
274000.0,5.634066290075854
275000.0,5.634066290075856
276000.0,5.634066290075857
277000.0,5.6340662900758565
278000.0,5.634066290075856
279000.0,5.634066290075857
280000.0,5.6340662900758565
281000.0,5.634066290075857
282000.0,5.634066290075856
283000.0,5.634066290075857
284000.0,5.634066290075856
285000.0,5.634066290075853
286000.0,5.634066290075857
287000.0,5.6340662900758565
288000.0,5.634066290075857
289000.0,5.634066290075854
290000.0,5.634066290075857
291000.0,5.634066290075854
292000.0,5.634066290075856
293000.0,5.6340662900758565
294000.0,5.63406629007586
295000.0,5.6340662900758565
296000.0,5.634066290075856
297000.0,5.6340662900758565
