M.L_b.pH Time [a],M.L_b.pH pH [mol/kg]
0.0,8.258668998920138
100.0,8.259752670468698
200.0,8.261963473941154
300.0,8.26325888791317
400.0,8.264009383121191
500.0,8.26445775634317
600.0,8.264739326742069
700.0,8.26492798489885
800.0,8.265064106181079
900.0,8.265169613443796
1000.0,8.265256349793829
1100.0,8.265331208987439
1200.0,8.265398026244286
1300.0,8.265458876643718
1400.0,8.265514895926051
1500.0,8.265566907225644
1600.0,8.265615539537087
1700.0,8.265661374442601
1800.0,8.265704323542376
1900.0,8.265744198934282
2000.0,8.265781441792663
2100.0,8.265816515281692
2200.0,8.265849918482317
2300.0,8.26588209804963
2400.0,8.265913562819371
2500.0,8.26594432845254
2600.0,8.265974583494202
2700.0,8.26600434869509
2800.0,8.266033662995877
2900.0,8.26606249433033
3000.0,8.266090881673906
3100.0,8.26611885527055
3200.0,8.266146417504995
3300.0,8.26617360195499
3400.0,8.266200359924834
3500.0,8.266226746965845
3600.0,8.266252717605829
3700.0,8.266278315425668
3800.0,8.266303564339712
3900.0,8.266328334644365
4000.0,8.266352851459857
4100.0,8.266376974701465
4200.0,8.26640074294471
4300.0,8.266424196339281
4400.0,8.266447261564542
4500.0,8.266470011067817
4600.0,8.266492427258315
4700.0,8.266514475216807
4800.0,8.266536203453734
4900.0,8.266557638725336
5000.0,8.266578704716123
5100.0,8.266599450957191
5200.0,8.266619969930378
5300.0,8.266640138368507
5400.0,8.266660009553732
5500.0,8.266679638557253
5600.0,8.266698976410574
5700.0,8.26671805116176
5800.0,8.266736855647459
5900.0,8.266755346602615
6000.0,8.266773590262472
6100.0,8.266791582724013
6200.0,8.266809283380503
6300.0,8.26682673531851
6400.0,8.266843944646368
6500.0,8.26686089667918
6600.0,8.266877548654517
6700.0,8.26689396924099
6800.0,8.266910127328675
6900.0,8.266926091081713
7000.0,8.266941782411147
7100.0,8.266957271265158
7200.0,8.266972525581705
7300.0,8.266987590708212
7400.0,8.267002415036687
7500.0,8.26701703941559
7600.0,8.267031467939475
7700.0,8.267045680235793
7800.0,8.267059670464056
7900.0,8.267073416710012
8000.0,8.267086950196783
8100.0,8.267100309639966
8200.0,8.267113479699645
8300.0,8.26712645842054
8400.0,8.26713926804689
8500.0,8.267151900053621
8600.0,8.267164339759276
8700.0,8.267176586260833
8800.0,8.267188649492583
8900.0,8.267200542544238
9000.0,8.267212273092708
9100.0,8.267223830484232
9200.0,8.267235213166103
9300.0,8.267246420862751
9400.0,8.267257445190461
9500.0,8.267268313053778
9600.0,8.267279047408753
