Time [yrs],Dissolution Flow [10E13 mol/yr],Empty [dimensionless]
0,1.860950572,
1812.810155,1.860950572,
1855.46024,1.864898065,
1897.399237,1.871417471,
1939.338235,1.884004884,
1981.277233,1.962222962,
2023.216231,2.121767122,
2059.436275,2.344118844,
2088.031046,2.578347578,
2114.719499,2.827431827,
2141.407952,3.091168091,
2168.096405,3.356532357,
2194.784858,3.625152625,
2221.473312,3.879120879,
2248.161765,4.118437118,
2278.662854,4.370234704,
2316.789216,4.620601621,
2349.196623,4.807081807,
2400.667211,4.973877974,
2442.606209,5.095090095,
2484.545207,5.18004218,
2526.484205,5.242202242,
2568.423203,5.294002294,
2610.3622,5.335442335,
2652.301198,5.365486365,
2694.240196,5.394494394,
2726.647603,5.405372405,
2778.118192,5.446294446,
2820.05719,5.454582455,
2861.996187,5.468050468,
2903.935185,5.478410478,
2945.874183,5.483590484,
2987.813181,5.498094498,
3029.752179,5.508454508,
3071.691176,5.507418507,
3113.630174,5.514670515,
3155.569172,5.522958523,
3197.50817,5.525030525,
3239.447168,5.525030525,
3281.386166,5.525030525,
3323.325163,5.525030525,
3365.264161,5.527102527,
3407.203159,5.525030525,
3449.142157,5.525030525,
3491.081155,5.527102527,
3533.020153,5.525030525,
3574.95915,5.525030525,
3616.898148,5.525030525,
3658.837146,5.525030525,
3700.776144,5.525030525,
3742.715142,5.525030525,
3786.242738,5.522181522,
3807.529956,5.525030525,
