Time [yrs],External Carbon Flow [10^13 mol/yr],Empty [dimensionless]
0,-4.5,
1807.625451,-4.493478376,
1844.96124,-4.385964912,
1882.293331,-3.935120084,
1909.462098,-3.163446944,
1928.780549,-2.242823981,
1940.088911,-1.412841503,
1949.512545,-0.586413553,
1956.580271,0.088946922,
1963.230073,0.843026058,
1968.992248,1.578947368,
1977.783449,2.439379101,
1987.207083,3.483521941,
1996.630718,4.496562653,
2006.054352,5.518489688,
2015.477987,6.44266718,
2024.901621,7.349072028,
2036.209983,8.264363198,
2046.575981,9.174322575,
2060.240251,10.10086975,
2072.019794,10.94803245,
2086.155246,11.86628573,
2102.646606,12.67197893,
2123.849784,13.5321749,
2149.764779,14.33668326,
2189.815226,15.12460381,
2241.645216,15.25385941,
2284.051571,14.38830856,
2319.390201,13.61392907,
2354.72883,12.87509486,
2385.355642,12.11510275,
2415.982455,11.31110218,
2451.321084,10.45928474,
2491.371531,9.64667996,
2538.489704,8.855707537,
2585.607876,8.118232569,
2630.37014,7.286867774,
2679.844222,6.561420756,
2731.674211,5.889291671,
2783.504201,5.246245095,
2835.334191,4.654900755,
2887.164181,4.124952823,
2938.994171,3.637012958,
2990.824161,3.191081161,
3042.654151,2.790388822,
3093.960606,2.411239082,
3146.314131,2.079483059,
3198.144121,1.785426584,
3249.974111,1.501064279,
3301.804101,1.242553092,
3353.634091,1.013124414,
3405.464081,0.806315465,
3457.294071,0.615663465,
3509.124061,0.431474244,
3560.954051,0.273136142,
3612.78404,0.13095499,
3664.61403,0.008162176,
3716.44402,-0.134018976,
3765.918102,-0.200747176,
