Time [yr],TA [mmol/kg],Delta Isotope [permil]
0,2.2881413,2.2881413
1822.6274,2.2881413,2.2881413
1965.7439,2.2864277,2.2864277
2081.0728,2.288841,2.288841
2196.4124,2.290793,2.290793
2325.5127,2.2964485,2.2964485
2472.9248,2.3085802,2.3085802
2608.7456,2.323008,2.323008
2756.126,2.3365238,2.3365238
2896.5725,2.3504946,2.3504946
3025.545,2.3616865,2.3616865
3182.1665,2.3747494,2.3747494
3315.7861,2.3845615,2.3845615
3456.318,2.3948412,2.3948412
3601.5078,2.40328,2.40328
3783.5562,2.4145207,2.4145207
3783.5562,2.4145207,2.4145207
