Time [yrs],DIC [mmol/kg],Delta Isotope [permil]
0,2.153,
1846.1261,2.155628803,
1925.912567,2.161928361,
1990.549704,2.193255578,
2026.908094,2.225557809,
2063.266484,2.260557809,
2105.828885,2.297068966,
2149.906218,2.334423597,
2212.739864,2.3668357,
2287.404415,2.392773834,
2378.372529,2.40017057,
2467.248593,2.400385703,
2556.124657,2.398814617,
2645.000721,2.398453347,
2733.876785,2.398492532,
2822.75285,2.400557809,
2911.628914,2.402106767,
3000.504978,2.403913885,
3089.381042,2.406366402,
3178.257106,2.408947999,
3267.13317,2.411658676,
3356.009234,2.414756592,
3444.885298,2.417596349,
3533.761362,2.420694265,
3622.637426,2.423275862,
3711.51349,2.426373778,
3784.23027,2.428955375,
