time [yr],hplus [mol/kg],empty [permil]
0,6.03E-09,
1838.539854,6.15E-09,
1916.940045,6.25E-09,
1973.95362,6.95E-09,
2006.080317,7.99E-09,
2074.047888,1.21E-08,
2032.522624,9.24E-09,
2055.005656,1.07E-08,
2093.580317,1.35E-08,
2113.998869,1.53E-08,
2139.847285,1.75E-08,
2169.909502,2.04E-08,
2198.812217,2.31E-08,
2246.040724,2.64E-08,
2317.307692,2.89E-08,
2404.411765,2.81E-08,
2491.515837,2.63E-08,
2578.61991,2.46E-08,
2659.695761,2.31E-08,
2752.828054,2.17E-08,
2839.932127,2.06E-08,
2927.036199,1.97E-08,
3014.140271,1.89E-08,
3101.244344,1.82E-08,
3188.348416,1.77E-08,
3275.452489,1.72E-08,
3362.556561,1.67E-08,
3449.660633,1.64E-08,
3536.764706,1.61E-08,
3623.868778,1.58E-08,
3710.972851,1.56E-08,
3779.553167,1.54E-08,
