time [yr],hplus [mol/kg],empty [permil]
0,5.50E-09,
1873.868778,5.70E-09,
1959.684515,6.13E-09,
2001.429739,6.96E-09,
2029.270362,8.03E-09,
2051.470588,9.18E-09,
2101.233467,1.22E-08,
2074.943439,1.05E-08,
2131.363122,1.44E-08,
2161.340498,1.65E-08,
2195.277149,1.91E-08,
2233.628708,2.14E-08,
2269.937783,2.31E-08,
2333.144796,2.38E-08,
2419.588989,2.30E-08,
2512.845893,2.13E-08,
2594.457014,2.00E-08,
2681.561086,1.89E-08,
2768.665158,1.78E-08,
2855.769231,1.70E-08,
2942.873303,1.62E-08,
3029.977376,1.56E-08,
3117.081448,1.51E-08,
3204.18552,1.47E-08,
3291.289593,1.43E-08,
3378.393665,1.40E-08,
3465.497738,1.37E-08,
3552.60181,1.34E-08,
3634.191176,1.32E-08,
3719.457014,1.30E-08,
3779.835973,1.30E-08,
