time [yr],omega [dimensionless],empty [permil]
0,1.3,
1874.320988,1.316853933,
1961.234568,1.30721825,
2048.148148,1.269084099,
2135.061728,1.16310294,
2221.975309,1.047735785,
2308.888889,0.926171831,
2395.802469,0.827601861,
2482.716049,0.755078879,
2569.62963,0.706196799,
2656.54321,0.665304733,
2743.45679,0.639155601,
2830.37037,0.619543752,
2917.283951,0.60102145,
3004.197531,0.597752809,
3091.111111,0.586857337,
3178.024691,0.579400749,
3264.938272,0.573782772,
3351.851852,0.573782772,
3438.765432,0.573782772,
3525.679012,0.573782772,
3612.592593,0.573782772,
3699.506173,0.573782772,
3767.45679,0.579625468,
