time [yr],omega [dimensionless],empty [permil]
0,3.18,
1875.111111,3.180973783,
1949.135802,3.040984484,
1988.888889,2.74906367,
2016.54321,2.447440699,
2040.246914,2.15980025,
2063.950617,1.8721598,
2091.604938,1.604494382,
2142.674897,1.236620891,
2204.320988,0.931097492,
2293.08642,0.767960504,
2380,0.777550789,
2466.91358,0.815980025,
2553.82716,0.886993531,
2640.740741,0.940960163,
2727.654321,1.000885257,
2814.567901,1.056452162,
2901.481481,1.108750426,
2988.395062,1.159959142,
3075.308642,1.205720123,
3162.222222,1.243854273,
3249.135802,1.283077971,
3336.049383,1.321212121,
3422.962963,1.351719442,
3509.876543,1.381137215,
3596.790123,1.408375894,
3683.703704,1.433435478,
3760.082305,1.444694132,
