time [yr],ph [dimensionless],empty [dimensionless]
0,8.26,
1873.868778,8.244441897,
1959.684515,8.212399857,
2001.429739,8.157200608,
2029.270362,8.095478959,
2051.470588,8.037033301,
2101.233467,7.914103534,
2074.943439,7.980014011,
2131.363122,7.840590351,
2161.340498,7.783140357,
2195.277149,7.719167718,
2233.628708,7.670082356,
2269.937783,7.63715847,
2333.144796,7.62414307,
2419.588989,7.638372799,
2512.845893,7.671083519,
2594.457014,7.698398869,
2681.561086,7.724506095,
2768.665158,7.748473385,
2855.769231,7.76987275,
2942.873303,7.789346173,
3029.977376,7.806037678,
3117.081448,7.820589247,
3204.18552,7.83364286,
3291.289593,7.844984524,
3378.393665,7.854828232,
3465.497738,7.863815965,
3552.60181,7.872161718,
3634.191176,7.87946043,
3719.457014,7.88457335,
3779.835973,7.887095418,
